UNITID,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 
206817,12000,2700,12000,2700,12000,2700,14700,14700,.,.
206835,27424,1500,27424,1500,27424,1500,28924,28924,3940,3940
206862,25140,860,25140,860,25140,860,26000,26000,3500,3500
206914,4740,1710,4740,1710,14160,1710,6450,15870,3105,2952
206923,2737,1080,2737,1080,6862,1080,3818,7943,4125,4125
206941,6686,1131,6686,1131,17573,1131,7817,18704,8800,8800
206996,2400,1272,2400,1272,6258,1272,3672,7530,6397,5947
207041,5648,1404,5648,1404,15008,1404,7052,16412,8178,5008
207050,3463,1304,3463,1304,7080,1304,4767,8384,2100,2850
207069,4645,715,4645,715,7211,715,5360,7926,4400,4400
207157,11200,5347,11200,5347,11200,5347,16547,16547,5977,4178
207209,4342,2167,4342,2167,11722,2167,6509,13889,2800,2800
207236,4611,1620,4611,1620,9745,1620,6231,11365,4850,4850
207254,21915,0,21915,0,21915,0,21915,21915,4304,4304
207263,5913,1002,5913,1002,14313,1002,6915,15315,6602,4058
207281,2580,1068,2580,1068,7992,1068,3648,9060,3900,3900
207290,2970,1943,2970,1943,9120,1943,4913,11063,4200,4250
207306,6810,1073,6810,1073,13928,1073,8173,15286,4200,3900
207315,.,.,.,.,.,.,.,.,.,.
207324,24550,540,24550,540,24550,540,25090,25090,3155,3155
207342,4788,2752,4788,2752,20169,2752,.,.,.,.
207351,3696,3688,3696,3688,4440,3688,7384,8128,956,810
207388,5357,3662,5357,3662,20877,3662,9019,24539,4740,4740
207397,3630,1440,3630,1440,9468,1440,5070,10908,4167,4167
207403,27912,3440,27912,3440,27912,3440,31352,31352,4440,4440
207449,3025,1034,3025,1034,8776,1034,4059,9810,3700,3700
207458,28094,4650,28094,4650,28094,4650,32744,32744,2750,2750
207500,4788,4275,4788,4275,20169,4275,11688,27069,6562,6562
207564,4574,1200,4574,1200,10184,1200,5774,11384,3766,3766
207582,29700,1230,29700,1230,29700,1230,30930,30930,3706,4600
207661,4560,2910,4560,2910,12900,2910,7470,15810,4362,4362
207670,3778,976,3778,976,10155,976,4754,11131,5364,5364
207722,6390,1650,6390,1650,17250,1650,8040,18900,3930,3930
207740,3120,2070,3120,2070,9360,2070,5190,11430,6330,4965
207847,6240,510,6240,510,14880,510,6750,15390,3800,4680
207856,13884,2894,13884,2894,13884,2894,19114,19114,2640,2240
207865,6368,1545,6368,1545,13478,1545,7913,15023,7202,6212
207935,2701,744,2701,744,8101,744,3445,8845,2928,2928
207971,42950,500,42950,500,42950,500,43985,43985,6560,6560
208035,2888,2090,2888,2090,6952,2090,4978,9032,4300,4300
208275,4950,1350,4950,1350,7425,1350,6300,8775,2874,2874
208318,3924,603,5508,603,11448,603,6111,12051,3228,3228
208390,4275,1395,4275,1395,11700,1395,5670,13095,3345,3345
208406,4860,474,4860,474,12330,474,5334,12804,2595,2595
208415,3780,450,3780,450,7560,450,4230,8010,5418,5418
208646,7830,1671,7830,1671,20520,1671,9405,22509,3264,3264
208725,14950,1180,14950,1180,14950,1180,15700,15700,4000,4000
208822,37840,530,37840,530,37840,530,38370,38370,2050,2050
209038,4356,797,4356,797,10134,797,5153,10931,2358,2358
209056,54832,434,54832,434,54832,434,55266,55266,2052,2052
209065,44450,682,44450,682,44450,682,45132,45132,1950,3950
209074,5147,340,5147,340,11962,340,5487,12302,3762,3762
209241,17394,7376,17394,7376,17394,7376,24770,24770,2100,2100
209250,4248,1038,4248,1038,8604,1038,5286,9642,3321,2754
209287,27370,630,27370,630,27370,630,28000,28000,8883,8883
209296,10785,90,10785,90,10785,90,.,.,.,.
209409,32100,220,32100,220,32100,220,32320,32320,2700,2700
209490,14472,6875,14472,6875,26532,6875,.,.,.,.
209506,9212,2057,9212,2057,29322,2057,11269,31379,3301,3301
209542,9846,2012,9846,2012,29445,2012,11858,31467,2742,2742
209551,10962,2374,10962,2374,35881,2374,13857,39309,2532,2532
209603,40750,1000,40750,1000,40750,1000,41750,41750,2100,2100
209612,47158,937,47158,937,47158,937,48095,48095,1800,1800
209746,4428,382,4428,382,9288,382,4810,9670,3423,3423
209807,7907,1641,7907,1641,25536,1641,10112,29001,3210,3210
209825,49424,220,49424,220,49424,220,49644,49644,2210,2422
209922,60310,310,60310,310,60310,310,60620,60620,1450,1150
209940,4176,864,4176,864,5148,864,5040,6012,3156,3156
210146,8820,2097,8820,2097,26100,2097,10710,27990,2697,2697
210155,4380,1913,4380,1913,4380,1913,6260,6260,2190,2190
210234,4245,966,4245,966,4714,966,5760,6210,675,675
210270,4056,1241,4056,1241,4719,1241,5297,5960,2685,2685
210304,18900,960,18900,960,18900,960,19860,19860,2856,11880
210331,33190,998,33190,998,33190,998,34188,34188,2000,2000
210368,.,.,.,.,.,.,.,.,.,.
210401,53300,534,53300,534,53300,534,53834,53834,1336,1336
210429,8280,1914,8280,1914,27090,1914,10194,29004,2487,2487
210438,.,.,.,.,.,.,.,.,.,.
210492,23697,1752,23697,1752,23697,1752,25449,25449,2570,4870
210508,.,.,.,.,.,.,.,.,.,.
210571,25500,1188,25500,1188,25500,1188,26688,26688,2660,2660
210605,3540,1062,7080,1243,10620,1243,8323,11863,5360,4850
210669,50480,500,50480,500,50480,500,50980,50980,2500,2500
210739,38500,1000,38500,1000,38500,1000,39500,39500,2370,6090
210775,36680,1350,36680,1350,36680,1350,38030,38030,3600,2500
210809,.,.,.,.,.,.,.,.,.,.
211024,26082,0,26082,0,26082,0,26082,26082,2903,1913
211079,5010,1710,10020,2610,15030,3360,12630,18390,2172,2172
211088,44620,700,44620,700,44620,700,45340,45340,1100,3850
211130,.,.,.,.,.,.,.,.,.,.
211158,7716,3242,7716,3242,19290,3492,10958,22782,3310,6310
211273,53180,1260,53180,1260,53180,1260,54440,54440,.,.
211291,57882,320,57882,320,57882,320,58202,58202,2150,2150
211307,3960,938,7920,1178,11880,1418,9098,13298,5670,4320
211343,3690,1560,6690,1560,9690,1560,8250,11250,1500,1500
211352,32830,1015,32830,1015,32830,1015,33845,33845,1700,4200
211361,7716,3392,7716,3392,11574,4152,11108,15726,5034,6634
211431,30542,904,30542,904,30542,904,31446,31446,2082,2082
211440,57560,925,57560,925,57560,925,58810,58810,1400,1400
211468,40967,600,40967,600,40967,600,41567,41567,500,2000
211477,17784,930,17784,930,17784,930,18714,18714,1200,1300
211556,38482,1420,38482,1420,38482,1420,39902,39902,3500,3500
211583,37950,250,37950,250,37950,250,38200,38200,7898,7898
211608,7716,3188,7716,3188,12723,3438,10904,16170,3082,3082
211644,7716,3433,7716,3433,11574,4454,11199,16078,3340,4540
211893,0,3015,0,3015,0,3015,3015,3015,5782,7200
211927,3750,2120,7500,2210,11250,2300,9710,13550,6670,6670
211981,38070,2550,38070,2550,38070,2550,40620,40620,1800,5420
212009,55948,550,55948,550,55948,550,56523,56523,1991,1691
212045,17600,150,17600,150,17600,150,17750,17750,5220,3930
212054,53868,2370,53868,2370,53868,2370,56238,56238,1200,1200
212106,41892,0,41892,0,41892,0,41892,41892,2200,3700
212115,8288,2971,8288,2971,16576,3221,11559,20097,3252,3238
212133,34136,570,34136,570,34136,570,34706,34706,1494,4113
212160,7716,2828,7716,2828,11574,3488,10544,15062,3300,3900
212197,32960,0,32960,0,32960,0,32960,32960,1050,1250
212434,12285,1980,12285,1980,12285,1980,14839,14839,2250,7650
212443,.,.,.,.,.,.,.,.,.,.
212577,60872,190,60872,190,60872,190,61062,61062,1270,3676
212601,34575,966,34575,966,34575,966,34526,34526,2800,2800
212656,28500,540,28500,540,28500,540,29040,29040,1700,1700
212674,58500,0,58500,0,58500,0,58500,58500,400,400
212771,19648,985,19648,985,19648,985,.,.,.,.
212805,18930,0,18930,0,18930,0,18930,18930,850,850
212832,36027,780,36027,780,36027,780,35430,35430,6693,5692
212869,26000,0,26000,0,26000,0,26000,26000,3295,8555
212878,5408,1350,6660,1500,8010,1650,8160,9660,4640,4640
212911,58402,498,58402,498,58402,498,59162,59162,1468,1468
212975,7564,100,7564,100,7564,100,7664,7664,5304,4090
212984,30590,1050,30590,1050,30590,1050,31640,31640,1398,1398
212993,21428,0,21428,0,21428,0,21428,21428,7317,7317
213011,26900,850,26900,850,26900,850,27750,27750,3934,4074
213020,9570,3574,9570,3574,13890,5007,13144,18897,2080,3080
213163,11696,1355,11696,1355,11696,1355,13051,13051,6899,6899
213233,17700,2325,17700,2325,17700,2325,20025,20025,2300,2300
213251,48350,825,48350,825,48350,825,49175,49175,1250,3250
213303,14500,2500,14500,2500,14500,2500,17000,17000,3600,6600
213321,38062,2018,38062,2018,38062,2018,40080,40080,3812,6288
213349,7716,3332,7716,3332,11574,3582,11156,15264,4290,4290
213358,29470,850,29470,850,29470,850,30320,30320,3230,3230
213367,31350,1075,31350,1075,31350,1075,32425,32425,1000,3000
213376,15300,830,15300,830,15300,830,16130,16130,3290,2902
213385,54512,480,54512,480,54512,480,55742,55742,.,.
213400,26330,680,26330,680,26330,680,27370,27370,2350,2350
213446,.,.,.,.,.,.,.,.,.,.
213473,11850,0,11850,0,11850,0,11850,11850,10800,7350
213507,44740,1290,44740,1290,44740,1290,46030,46030,2482,3082
213525,3360,1080,6720,1350,10080,1620,8070,11700,3200,3200
213543,54790,470,54790,470,54790,470,55260,55260,1065,1065
213598,8026,3240,8026,3240,13396,4072,11266,17468,4415,4415
213613,7716,3162,7716,3162,17290,3412,10878,20702,5307,5307
213622,14190,1355,14190,1355,14190,1355,15545,15545,7059,7059
213631,.,.,.,.,.,.,.,.,.,.
213659,4020,1650,8040,1980,12060,2310,10020,14370,2000,2000
213668,41984,730,41984,730,41984,730,42939,42939,2071,2071
213774,17430,1100,17430,1100,17430,1100,18530,18530,4990,4990
213783,7716,2944,7716,2944,10032,3194,10660,13226,2512,3822
213826,35178,1750,35178,1750,35178,1750,36928,36928,2500,3500
213914,14240,900,14240,900,14240,900,15140,15140,1861,2261
213932,12292,2318,12292,2318,12292,2318,.,.,.,.
213987,38580,2770,38580,2770,38580,2770,41350,41350,2061,2061
213996,36340,840,36340,840,36340,840,37180,37180,3460,3100
214023,11997,100,11997,100,11997,100,12097,12097,5329,3110
214041,9570,2095,9570,2095,19290,2345,11665,21635,2810,3100
214069,34100,1840,34100,1840,34100,1840,35940,35940,1000,2000
214111,4320,1410,8640,1710,12960,2010,10350,14970,1640,4355
214148,43320,1486,43320,1486,43320,1486,44806,44806,2000,3000
214157,45321,2046,45321,2046,45321,2046,47367,47367,6692,8576
214166,23090,1280,23090,1280,23090,1280,24370,24370,3000,3000
214175,53865,735,53865,735,53865,735,54600,54600,1781,2060
214272,31500,1460,31500,1460,31500,1460,32960,32960,2600,4520
214379,3360,1350,6720,3360,10080,4800,10080,14880,4500,4500
214476,19075,1200,19075,1200,19075,1200,20275,20275,2000,1200
214564,.,.,.,.,.,.,.,.,.,.
214582,10800,3105,10800,3105,10800,3105,13905,13905,750,750
214883,14400,660,14400,660,14400,660,15060,15060,1600,1600
214892,16626,687,16626,687,16626,687,17313,17313,3160,3160
214971,38926,1450,38926,1450,38926,1450,40376,40376,6332,6332
215053,25950,1700,25950,1700,25950,1700,27650,27650,1200,3500
215062,53166,6876,53166,6876,53166,6876,60042,60042,2926,2926
215105,46530,150,46530,150,46530,150,46680,46680,2520,3663
215114,29178,375,29178,375,29178,375,29853,29853,2042,2042
215123,.,.,.,.,.,.,.,.,.,.
215132,26983,1700,26983,1700,26983,1700,27500,27500,3300,4400
215239,3816,720,7632,960,11448,1200,8592,12648,7300,7300
215266,13198,884,13198,884,24666,884,14082,25550,4885,4885
215275,13198,916,13198,916,24666,916,14114,25582,4885,4885
215284,13198,892,13198,892,24666,892,14090,25558,4885,4885
215293,18628,1050,18628,1050,32656,1050,19679,33706,3502,3502
215309,11176,450,11176,450,21116,450,11626,21566,4885,4885
215381,16500,150,16500,150,16500,150,16650,16650,9150,8234
215415,14660,1800,14660,1800,14660,1800,16460,16460,6471,6471
215424,.,.,.,.,.,.,.,.,.,.
215442,32560,1640,32560,1640,32560,1640,34200,34200,2100,2100
215479,10625,2085,10625,2085,10625,2085,.,.,.,.
215585,4110,1710,8220,1770,9240,1770,9990,11010,5000,5000
215594,10782,2117,10782,2117,10782,2117,10905,10905,8340,8340
215619,.,.,.,.,.,.,.,.,.,.
215637,19650,3900,19650,3900,19650,3900,23550,23550,4650,4675
215655,30830,1300,30830,1300,30830,1300,32130,32130,6562,6562
215682,14395,730,14395,730,14395,730,15125,15125,6300,3800
215691,19500,1150,19500,1150,19500,1150,20650,20650,1518,5045
215743,38728,1200,38728,1200,38728,1200,39278,39278,6000,7100
215770,47740,200,47740,200,47740,200,47940,47940,1916,2488
215798,36586,1018,36586,1018,36586,1018,37604,37604,1800,4820
215813,.,.,.,.,.,.,.,.,.,.
215929,46684,400,46684,400,46684,400,47084,47084,1872,4572
215947,37396,550,37396,550,37396,550,37946,37946,3000,2300
215974,14190,1355,14190,1355,14190,1355,15545,15545,7059,7059
215983,14270,1946,14270,1946,14270,1946,16216,16216,2000,2000
