UNITID,F2A02,F2A03,F2E041,F2E051,F2C01,F2C08,F2I07   ,F2C03,F2C04
107558,165716336,14979121,2230494,4439345,1629837,12862377,23774748,734829,0
107600,60159905,33412232,2360115,3428305,4735878,5709754,22069177,0,0
107840,7686174,532474,595605,193301,4552265,0,6747921,0,0
107877,40956485,3648787,731171,2661271,1256096,5128083,10191732,560500,0
108269,1951427,976568,310066,0,0,0,1839922,0,0
108852,23268993,18147545,1434241,868882,420626,2532207,9032293,52108,0
108861,17390785,4027828,293084,289000,0,0,3057381,0,0
108870,47435050,8444842,6937208,1007168,0,1452075,32086784,0,0
109086,94802979,45580128,1567613,261575,6195,494144,23789641,0,0
109651,332038000,137398000,20687000,8474000,3544000,27339000,110049000,2979000,0
109785,352158662,192172775,18638601,42997989,8883909,79328188,226156266,10137,0
110060,17313279,360922,304746,144216,362705,97046,3806668,91314,0
110097,488716000,171335000,14026000,23523000,5716000,65845000,160717000,7243000,0
110316,37007635,22194607,1535310,2697120,256773,172016,31588000,0,0
110361,607061523,399397981,7234238,49728342,19503197,90854968,233076854,22733983,0
110370,183437000,47387000,8354000,8251000,1615358,28081062,80782000,768000,0
110404,6252584000,2975027000,49526627,25995377,482000,80206000,3376928449,154000,0
110413,382881187,112809266,7050302,22817403,5214059,64780480,120481813,8079609,0
110918,669814,12302,87330,104610,46314,14501,502902,18189,0
111045,283317,66801,0,0,0,0,641799,0,0
111081,270761544,17151118,8301679,5906248,1204991,22639267,71916390,945354,0
111391,67408736,20418448,10380428,5088804,0,16824942,30654626,0,0
111638,5523108,4907077,442436,557199,803867,0,4631953,0,0
111708,,,0,0,308523,0,,0,0
111717,,,0,0,583886,0,,152007,44266
111726,,,0,0,599272,0,,8788,76708
111744,,,0,0,608483,0,,22158,38223
111762,,,0,0,215993,0,,0,8190
111799,,,0,0,318727,0,,0,5000
111948,1605493045,429956320,52105763,32436346,6673594,163922827,374358935,8271629,0
111966,213011500,87954000,6998900,1966800,597312,0,61283700,413061,0
112075,175634097,55651390,4552165,15461152,2315692,26311274,72194206,2933062,0
112084,4522812,6172618,996936,4150203,971175,4995937,14209553,444492,0
112127,34869535,2296083,368711,648045,0,542158,5502428,0,0
112251,244153455,58504167,8082752,5876982,0,15874996,75192791,0,0
112260,2127714000,794755000,8303000,22249000,1169000,27531000,130522000,972000,0
112525,405834613,213276113,23749415,8516821,0,5461327,201198526,310000,0
112570,12389877,17634039,742642,3109215,2408126,1791212,32069859,550123,0
113537,2459857,1539837,70188,105424,13185,80975,1243065,0,0
113698,120936382,33873061,4195307,9744288,1616642,27488640,61990754,2801734,0
113704,8389819,60960,450368,395859,0,217535,2786089,0,0
114549,31092694,8504046,1981514,1307667,0,490286,21669983,0,0
114734,9907070,386918,366385,571691,0,255900,2500079,0,0
114813,81825283,17145187,10950010,10149316,9702522,15998677,65573886,9491142,0
114840,257081000,57853000,5494000,6720000,0,6034000,58760000,0,0
114947,,,2344926,385480,184049,1373597,,0,0
115083,132658164,51394461,10701303,13071905,486101,15734977,55360749,0,0
115214,61873853,2382503,3662506,909535,0,1235447,9183403,0,0
115409,530392219,79952350,6546072,8366092,585767,20743376,71750376,703286,0
115728,89669403,51727656,3811629,7958494,1544292,16742573,36422090,2478991,0
115773,28704023,13849372,1158492,999618,782257,152276,7947723,358905,0
116846,128340453,43861455,3741159,317526,117245,2301985,26754375,81032,0
117104,29969229,1071349,1073857,3338999,1237604,1468402,11758443,906580,0
117140,435518689,157944761,18493785,19889988,10097495,55922700,152853312,12001471,150583
117168,37258304,16814532,4018692,2074948,1286774,6539855,18096498,1038430,0
117283,2592260,861510,212883,107016,0,177698,1358719,0,0
117520,30632289,17937607,2805210,4339552,0,171228,22692324,0,0
117557,5541764,1837125,443518,793892,94676,0,4979398,0,0
117575,1240081,494052,0,765447,55464,207502,2501189,0,0
117627,192974775,27810056,8258579,7905506,3938213,2135935,74985961,5268724,0
117636,1836964000,1082609000,18287528,8489656,1965036,12543547,338934000,1838342,0
117672,36640185,12384701,1680316,2981682,412033,554838,29703308,0,0
117751,103536998,37600480,2845305,8646095,1675792,8695232,41056805,1423937,0
117946,1440708000,395157000,59331000,67355000,4827000,133682000,404979000,6774000,0
118541,44710924,11804734,1850678,5455500,1200005,8205338,21515436,1365590,0
118693,36820361,7336687,2474806,7542179,1463264,21986849,27867009,1666819,0
118888,315223538,42756349,6956277,9581902,1721509,11889307,60424616,0,0
119173,325045397,66485397,8852246,16973252,5920211,31811898,86898628,7933707,0
119605,1273278667,133721377,29317149,33575310,13441018,17015422,228069448,1688668,0
120166,240259996,798781,825214,764013,0,18420,9566820,0,0
120184,60343002,18648364,4955750,7380306,1481091,14106340,33916352,1628632,0
120254,765509838,139373574,10853860,17731519,1819548,49904690,127171069,1619936,0
120403,107442066,47513205,5528938,6832705,1987216,17687273,49376388,2006548,0
120537,35581278,23912528,1567301,5865751,1635840,341159,21358222,1345775,0
120698,34130288,13870626,1289667,3018057,157236,1411600,32815202,0,0
120768,43363569,25262998,3876920,4830293,1389083,545302,20046355,294122,0
120795,44761600,6239148,987964,604638,0,542980,7199885,0,0
120838,1002404,172864,315041,3531,0,4462,931772,0,0
120865,89494987,62329741,3187430,5236562,2065175,12394365,46154233,1487910,0
120883,1134390428,277485671,29476408,39182776,6772365,98508974,319470703,12066730,0
121150,2088934000,729494000,91221000,69320000,3420000,130833000,416238000,3535000,0
121257,315510897,103196337,4452561,18004238,728178,16823631,62027593,703760,0
121309,261446610,66587192,10900882,29024841,3931336,34260967,110371108,5129498,202014
121345,3154346000,449528000,19345000,23277000,1860666,49734000,178801000,930000,0
121628,,,3061304,893578,0,991886,,0,0
121691,465502200,98807703,13412530,27767746,4732300,79874443,141176774,8089722,0
122117,3776754,2471009,159457,176588,19147,0,2244653,0,0
122296,263854722,32594410,10226076,6133291,593667,0,79269490,632664,0
122436,1513057000,337762000,30499000,42018000,4782000,128231000,346121000,5312000,0
122454,58630774,24153279,352057,1801902,367124,5607285,16912776,142761,0
122506,312979000,96784000,1493000,1835000,250931,12166000,29998000,196547,0
122612,1277161000,430038000,32673000,54814000,9117000,123887000,378569000,0,0
122649,8543963,1522388,994664,158919,0,0,4130840,0,0
122728,119325308,87339448,7762674,8605773,2192999,16004652,38394459,3105614,0
122931,2393501000,567398000,56803000,67472000,2877000,114054000,406154000,4530000,0
123095,10210102,1812412,2894987,2163092,0,682475,14116192,0,0
123165,617457507,101061536,3914876,17432366,602996,19714186,77236494,528544,0
123280,1993121,187124,34412,6248,77111,8092,750700,21275,0
123448,2536943,4012246,897689,1780131,0,874607,6041566,0,0
123457,37692155,23997067,1099353,7780811,1882616,9600311,21891224,1511395,0
123554,346418383,100369032,11972797,26986258,2895296,57197594,130612651,4581409,0
123633,11124162,3706496,317000,256256,35236,47236,5391490,0,0
123651,94480021,53365123,2157748,10038464,4230789,28231495,48939468,6365969,0
123916,10524751,502846,287984,241995,0,225945,2974041,0,0
123943,98229672,49557018,2426516,1207447,0,493600,48335704,378483,0
123952,83979000,24720000,4463000,575000,308000,4536300,22772000,191350,0
123961,14495427000,5061125000,75196000,232320000,20161753,637975000,5529573000,0,0
123970,126801744,31608809,7317848,3406628,0,11658627,36554614,0,0
124283,32991626,16270653,669776,1153240,0,2959862,12225590,0,0
124292,136623646,17058064,2298881,3082094,437652,2674444,26254821,405528,0
124487,6487826,2708399,61593,79936,288002,0,1525462,0,0
125037,7627482,696229,908296,915839,14175,66688,4235474,0,0
125718,32559807,5268847,762256,429789,0,951908,6142523,0,0
125727,309060246,86722385,4509519,11881402,1181824,32937419,67973722,1992789,0
125763,282882820,71158278,5081961,14028223,3157593,46168000,66458541,5221901,0
125897,65624273,42327341,5041523,4232856,2758391,0,37861337,0,0
126012,24528495,3356182,1441509,1830858,0,60065,14771872,0,0
126049,17802287,8339028,2855419,1141776,0,3506391,9147367,0,0
126076,14939821,3164721,106323,949238,615518,505232,5571321,663132,0
126669,207335567,71503391,4907312,26105535,10411011,25654092,90460604,2626472,0
126678,1232545121,218481487,21850566,29454433,1159984,40749836,162651595,167825,0
126979,35961155,3363761,1477449,1564358,0,1580635,13058763,0,0
127060,1851080133,383859610,96980930,58214211,4452917,195456126,517561837,1846164,0
127273,47887282,1591401,1351730,641636,0,0,8256244,0,0
127653,28388817,13961331,6372374,3096514,940551,6858673,25630087,128616,0
127714,5583075,3330409,800394,98642,491493,286245,3810231,0,0
127918,224068186,91817274,15495253,24840778,3555075,44800639,131652611,5866207,0
127954,,,0,0,46310,800,,0,0
128498,76254091,31916966,3399233,8299472,3042187,10609568,32016824,464615,0
128586,6238435,3329402,37314,322675,136235,411509,2282473,59907,0
128744,128444000,74726000,5365000,15568000,6449445,44131000,87117000,892366,0
128902,516820000,116239000,13853000,16067000,1357000,43358765,107475000,188358,0
129154,271434000,42863000,2184020,8023553,7216483,12964000,71769000,653937,0
129242,854951548,312928827,16446538,31869323,2002528,90265205,209832690,347323,0
129428,7273000,1839000,671000,881000,0,142000,3441000,0,0
129491,60859478,631435,298311,2555,0,507155,5005917,0,0
129525,419406000,210385000,3456000,23094000,6299131,101191080,176454000,760179,0
129534,15042875,262874,157780,183298,214996,3300837,4395797,0,0
129774,42184925,23370007,1643065,5354090,1283506,9650795,20549436,455079,6000
129941,403547128,185613907,18006853,33625457,6279738,95359426,186315801,892770,0
130226,1587314312,524761296,23967871,55191499,4917044,149542944,314688935,698858,0
130253,899337453,392507360,14970150,47240166,4897446,92335664,234061157,525287,0
130314,104980000,51979000,3821000,6268000,1594000,16454000,70597000,467000,0
130590,961164109,198266167,9468217,29093907,1588699,59640621,163216358,38000,0
130697,1706429000,433810000,13604000,18818000,2459000,69966000,217544000,132000,0
130794,44696382000,12964428000,1619434288,387404782,5856153,369423266,4090892128,771990,0
130837,,,245777,32192,114208,0,,0,0
130943,4006103765,1562928044,86265883,44090951,14280294,192213742,1078948142,14186430,0
130989,221275268,27075866,2754318,4307774,1550391,17021117,15885899,23090,0
131098,34931913,14157988,1193275,4811302,2554090,11991582,30048030,64894,0
131113,264863529,22561119,11821016,21329297,11594625,5276002,108977000,0,0
131159,2055125000,753126000,75185000,54545000,5680000,170186000,628110000,0,0
131283,882577000,272541000,15634790,31756535,1860737,101965358,235434000,35345,31300
131405,10177640,246391,3171136,100203,0,128216,5749758,0,0
131450,475037842,73333876,15578534,12122590,3131525,7111660,152033967,0,0
131469,5100258000,2805199000,207339000,108142000,8430000,340440000,1744948000,132000,0
131496,3912902000,2318609000,190311000,131523000,4956000,169445000,1552106000,42000,74000
131520,1667010000,966583000,48124000,38016000,14345982,118814000,840668000,0,0
131830,,,68790,56729,94368,0,,0,0
131876,125397773,35494378,3916405,6366688,4015102,12780458,35790186,845131,0
131973,75528425,19757438,756117,1541393,0,2470897,14020773,0,0
132408,33386553,832331,228462,734985,749584,318036,6090186,456430,0
132471,218103852,101257753,6710398,14683461,9376613,58463372,138900527,6158913,0
132602,191000240,116418459,2206494,7142330,11700789,14858129,80528346,6937868,0
132657,202368133,89699651,2729838,26397768,3018264,27572636,94711265,217602,0
132842,42544322,9861717,2559676,1009827,478125,368633,11717763,287240,0
132879,2117740,797110,271153,1013202,569764,362975,5532320,566689,0
133492,226479498,56232709,4423426,13849639,1945250,44735766,79518617,2169675,0
133526,40840876,10998972,2820166,3869095,4328869,1927873,23200847,3706829,0
133553,1096271000,444847000,11897000,27760000,8077499,73275000,382669000,8202290,0
133711,247787464,50684155,3119896,10929825,4308434,12024993,63182925,7448845,0
133809,59525599,9290810,589828,1468822,645989,1156643,20788242,731056,0
133872,20268002,4806937,4318116,747152,1651719,702854,35228430,233534,0
133881,338897187,160442019,11895433,20285122,3636161,53976863,182091340,6962659,0
133979,90969603,13978722,2767092,7493762,4159711,1588130,43647824,4850207,0
134079,282296140,55300156,3171177,16440401,3161125,42959622,93463554,9540862,0
134510,4304143,643606,79408,279445,405786,220059,4499017,37350,0
134945,349299153,260232288,5196063,23706242,4593104,52565449,107657056,2057943,1846700
135081,480036153,182911653,8164530,177355326,73411121,361718,411608838,23166409,0
135364,7350924,960263,901952,591724,534811,254211,4322590,0,0
135610,518342,3086878,26231,232986,222679,449546,1978962,134012,0
135726,5539608617,3049275852,191910447,56874463,7401719,278812000,3659157259,22047840,508
136215,1604463622,676704319,98760202,46317589,12237687,99300367,655006655,8613698,0
136330,220823000,49445000,5056000,12292000,3980418,35145000,79270000,6706385,0
136701,55948216,467382,470074,173176,0,0,7274594,0,0
136774,394615231,195659175,17273726,8030585,2051471,19514126,81728064,2257321,0
136950,708297000,218875000,15241000,28143000,3318000,53172522,140328000,9278000,0
137032,243651425,98521914,16704423,37572412,22439211,28564633,156362386,8721110,0
137272,11611199,855174,835080,0,37170,0,2886385,34082,0
137476,109354722,59579845,5257264,10532557,3877201,26234244,55274768,3890203,0
137546,588771463,184675673,14494168,28345882,5142245,100436783,141030387,12046140,0
137564,135061336,107551160,13135879,22378521,12624132,1266437,90582897,8702516,0
137777,18493720,9099130,321323,309104,140731,192542,3570255,0,0
137801,462919,5789536,2194338,1153556,1254597,486254,8225018,0,0
137847,788681570,215301597,20123387,28559258,8492223,82749427,211596886,9040171,0
137953,3507473,1187802,455177,803034,1049680,731469,3889132,195849,0
137962,9350794,4149339,378730,973961,579465,794805,3688068,111340,0
138275,29341613,13250566,1126213,6591096,2791239,5793756,18734911,2715916,0
138293,17075718,7613977,362421,6766170,1762523,0,14643316,1576917,0
138600,355969145,88088773,8118443,10114499,2061348,27319761,59508095,2304536,0
138761,29072051,11754374,439106,2743031,835554,1973078,8431716,320444,0
138868,44703708,24102177,3602429,5951115,3628349,6318249,27646915,0,0
138947,258178622,30857640,9363011,10314416,11815621,21791623,102161831,545148,0
139144,1203857602,168157643,9540780,18813784,2049146,44562669,92782947,0,0
139153,4399960,2540823,636021,529357,470944,9469,4684729,0,0
139199,138158492,37888047,3711111,16425875,3992046,10477421,58040901,2828820,0
139205,30763062,10445868,365117,2284052,1466490,4239419,10270798,0,0
139348,263391390,5455782,3874030,1064896,0,1342303,13631689,0,0
139393,113015563,3667119,1809938,6626033,870964,16201854,29648337,1090111,0
139630,31895292,11508404,349538,4987752,1810960,8018578,15818523,2131426,0
139658,17172361000,6554484000,165695000,98691000,7269000,293415000,6577807000,5162000,0
139995,4656577,74236,1534892,116520,916573,0,2798701,0,0
140146,14436465,6294937,683573,514413,0,876876,6446145,0,0
140234,156873904,49774039,1405349,7312256,1739839,14421938,32068646,2246698,0
140252,128624795,101963276,2575735,9440107,1920347,1246650,74006143,545453,0
140340,15442403,4105466,481063,3735622,3438281,2209055,8937028,570101,0
140447,834032550,354505553,28819808,26751075,8399932,92346790,293096405,0,0
140553,402541341,79154300,8385400,42361149,5287527,24462198,120737805,0,0
140562,242236484,62059620,11848946,6231655,0,3383200,174720057,0,0
140696,121780762,18001134,1958854,10977732,2573487,31302983,31663378,3374633,0
140720,38832676,19055740,183009,1711329,1931994,1063456,15309549,399060,0
140818,155494183,31319909,2487082,9106907,2824766,1691903,48046183,3928964,0
140872,111792744,47642819,1203980,7436658,2710088,13148007,32820363,3812822,0
140951,1256254088,263663881,27454690,49801450,11431524,126166744,332672409,5707766,0
140988,59873616,22253336,1023391,5978164,2954231,11879782,23202863,1739334,0
141060,668899439,79511310,9566732,13774966,4559875,19853021,102759285,1885985,0
141167,22184125,7121054,570697,3524093,1355204,3211601,14469689,22156,0
141185,32471724,8507044,849549,3011738,2272065,7277732,16698003,5098861,0
141237,54440443,29646050,972513,6493710,1411806,7032368,22064737,7880959,0
141325,93465139,14418509,1016197,2614310,1417716,6429188,17652689,1543462,0
141361,213349901,67825267,2742035,6490178,1611442,18387724,29002834,3676186,0
141486,103384806,31848124,10328514,6170658,3448018,15077701,49066037,0,0
141644,166381446,97754166,7428201,12406899,3673306,31032684,80483546,0,0
142090,6696748,358560,166910,411252,180290,468000,3114861,0,0
142294,187183423,31542383,2810811,9322180,1294421,25412151,33006893,204162,0
142461,150131088,40212234,3787860,10425629,1948513,18630706,40934016,0,0
142522,896922000,173510000,22056000,42042000,112402678,20013000,325706000,2055313,0
142832,47209901,30828291,3090604,6568171,0,4389110,39307218,0,0
142887,18942161,18227323,268622,362095,456141,0,7652364,431878,0
142957,2374396,1168494,109615,104885,0,44750,1816422,0,0
143048,,,28743252,19040697,2726171,49877515,,876864,0
143084,381381635,72161981,12096262,7950037,2589075,67329387,74037835,3243602,0
143118,221966879,70552394,11706759,15888778,8511461,38938712,91967461,9269810,0
143233,53168141,1295429,182871,408920,0,375327,3074814,0,0
143288,69417787,12166940,1425553,3643787,1478382,4316547,15642541,1479654,0
143297,,,529455,949226,189095,1491853,,133181,0
143303,,,5064,0,25653,13593,,13593,0
143358,713548498,261990553,10527617,12121752,6364580,70704481,161181256,89544,0
143659,71747836,23754507,610471,936877,0,670566,10513536,0,0
143853,932260526,286700213,19249665,8006004,0,307793,149779677,0,0
143978,152561984,29065843,16605128,21095365,777854,4244381,108686822,5378,0
144014,47818525,1005949,341431,771854,0,821262,6531371,0,0
144050,13303760063,5876238645,119202438,114482245,3719013,521737513,4068781211,971880,2133291
144281,522591069,127331336,22335583,31840497,11284467,51917500,184832996,7661502,0
144351,102332915,63982118,5464553,25194641,3192079,22768560,76859464,2584757,0
144740,1757708000,553490000,61631000,74658000,20889000,252019000,537744000,19899000,0
144883,91336302,21083263,151691,2088250,1858040,358030,9745866,895346,0
144962,201048408,87659639,7067690,14382948,4884865,51657107,70710430,5409985,0
144971,55660129,12506415,646431,3515986,923294,4868419,15104597,1042067,0
145275,130934542,18974816,1269448,2342309,0,2622444,14873562,0,0
145354,,,164512,64489,117356,202042,,118069,45781
145372,68238769,17345919,1300448,7137871,1830062,11940536,26621254,0,0
145497,,,469000,284000,236465,508035,,0,0
145558,266024078,160950422,17855778,9129422,0,7637738,124155178,7348,0
145619,180508560,75516873,7238862,20094060,5231445,32310796,74092716,3814017,0
145628,101860678,45303682,1854388,2381467,0,1348871,34582117,50000,0
145646,377291473,114836864,3884957,7908793,1748817,43063013,70922432,2014389,0
145691,191964804,27842555,4510416,11571374,2042925,21014442,36103567,2306524,0
145725,677569000,258507000,15375000,16988000,4575000,122722000,268053000,0,162000
145886,1452426,383647,722353,127474,0,3000,1641875,0,0
146339,46832814,15487051,1606389,4698797,2103972,11967778,22348245,0,0
146427,257828933,58050557,4544511,10130956,1891977,38956673,48244482,1395030,0
146481,218648445,48916770,4867597,13659805,2623260,47539934,61991498,2276821,0
146490,18614761,2952726,3913600,435531,0,1135158,9334678,0,0
146533,21092641,476334,161183,174852,231133,19170,3457246,210488,0
146612,241611224,94166105,839919,18710118,6502872,49461997,111860081,6798008,0
146667,25178159,11954305,1090782,1980735,626389,1707284,9404694,506732,0
146676,49761485,11331597,2045269,4059637,3362244,6175486,20068912,2487547,0
146719,2261282374,570068473,129382859,54104700,14415349,245234017,583729430,11794437,44963
146728,54759351,20959522,2014331,851966,0,841015,11879841,0,0
146755,,,144937,390602,258093,14213,,172357,0
146816,3551706,1111129,210066,564218,1339924,836920,3672585,501884,0
146977,92579502,17884082,1519579,554576,0,470655,8030029,0,0
147013,107359374,51992075,1366283,10749425,2781018,598695,40576480,0,0
147031,32318546,655761,219851,435206,0,562192,3441417,0,0
147129,,,1166729,1893417,1500899,0,,1164898,0
147244,256274780,55478659,3134023,12488074,3433666,40637521,53835186,3330568,0
147341,225152579,43088278,2375500,7193735,1483062,22606272,37122242,1711880,0
147369,328644002,177852913,5917700,5806400,3369182,13159904,110753755,0,0
147396,3235483,1413048,95514,325224,180317,33559,2072560,0,0
147536,111711059,37081984,9730110,25205762,10282395,5188223,98603032,8988682,0
147590,55180289,11114567,1360471,2331617,72495,829167,21915838,0,0
147660,362226785,113723378,7160480,9893143,3001255,54595497,79923843,3813224,0
147679,307400946,93879232,6677694,12491011,4322271,25191606,63473907,3929435,0
147697,23933493,5587817,938185,617231,0,0,5207552,0,0
147767,15855683000,3394102000,380112000,255538000,7816222,512945274,2459351000,3266300,0
147828,302250224,155351574,6518872,21689211,5015268,61588010,89701932,0,0
148016,589338355,63825761,3587387,8330924,0,8717829,45471210,0,0
148131,59920482,39901177,1889194,7333143,1557002,17712545,25838068,1200812,0
148405,53702064,15285813,1737748,5897861,2162136,11227353,25808160,2095640,0
148487,460474323,314693104,17294799,27645422,9800743,53250822,162418276,4045450,0
148496,139867080,48900675,9104606,10254573,4871058,32458571,74726145,0,0
148511,4184553000,2177238000,12641986,11702178,200973,10890723,2320226000,0,0
148575,,,620444,1068970,349712,2050145,,681612,153547
148584,96850136,45534570,7221767,9306799,2977843,22115025,48454339,3175288,0
148593,4693378,552403,790282,490955,106877,0,4468326,130098,0
148627,126945077,39760091,5803477,10322589,7972068,51351388,59815431,8108474,0
148876,12787371,9818470,1228657,1353276,4068614,1341654,13146324,2302350,0
148885,73868926,2560054,1089839,63617,0,0,22757238,0,0
148955,,,162186,55134,50104,0,,0,0
148982,64364676,49516557,272867,260441,0,200925,9908814,0,0
149028,9524487,1701873,455508,486718,387657,194432,5385039,383072,29660
149329,13921046,4241613,0,375849,186904,924939,4593615,122850,0
149505,83939338,31265174,2577350,7173916,1559449,12441405,30762962,1916470,0
149514,98327567,35166801,2261969,4779390,949724,12548416,34371991,509389,0
149639,7974714,2880009,349885,1081880,164733,646900,5091835,176526,0
149763,,,2075219,3562147,2295420,1231226,,1636176,0
149781,935673174,172022708,14997000,26401000,2316201,37048000,127309104,677532,0
150048,8789713,2255526,570245,2204289,940955,1583603,8781487,988454,74502
150066,124318000,58776000,3890000,8996000,2255000,17484000,43975000,2936000,0
150145,48689339,23767997,867787,7565027,2205843,13986426,26404796,2587992,0
150163,681272000,249985000,16500000,36932000,2840000,77841000,191904000,3634000,0
150172,20188914,5321419,723330,4039349,1306572,3411883,11179647,1061488,179515
150215,138086648,3223444,938527,284274,0,0,16058466,0,0
150288,99215030,7230408,1630394,1821330,0,4863096,13476615,0,0
150400,1044669443,242872114,13537040,19616990,1700031,60958242,109847185,1027671,0
150455,538359443,98749238,2392078,6963987,1189366,34393197,59020085,0,0
150534,318958007,79465171,4930596,13252799,1994395,42355803,68034848,2762682,0
150604,142128594,30281035,3823657,7543115,1589174,15937909,30465549,2862432,0
150668,180018624,26107034,2428685,5402807,1186132,15117819,29040821,1404749,0
150677,78985907,38180210,788316,7394276,2154174,20214350,37565356,2966064,0
150756,236094942,36404500,1478325,9659110,1539330,31522957,36551940,2239847,1029963
150774,44153541,26571527,898653,3210919,875785,6255024,12147266,598736,0
150941,88113397,24910889,2565940,7005937,1658745,11475478,32938923,1671441,0
151263,265228375,126435355,10327629,27617752,8380283,66130495,127209995,12319227,0
151290,274881086,33337638,4244105,12858764,13179059,45842416,62434715,7117933,0
151777,163832946,34241874,5598190,7088259,2118034,21013629,42808989,3263710,0
151786,268495612,150162139,9385224,17252970,2844682,30880645,96349533,5556355,0
151801,526729035,62588488,8491133,21581352,3331153,28027517,173558983,4036910,0
151810,11896108,2868391,218649,1259402,947831,220869,5496006,618800,0
151865,28190705,361853,452720,552788,0,384960,4141314,0,0
151962,487993,196421,1477784,123463,455811,0,2485770,0,0
152080,18413619000,3920126000,126085000,56790000,4349000,335613000,1280130000,532000,0
152099,57230628,14947769,215233,1947076,1036273,6141103,23122609,0,0
152318,458661917,125902512,5130663,14533261,1042329,38222174,95364284,898898,0
152336,127841101,27899199,3916741,7440913,3373124,22085248,48970064,2826442,0
152381,29292127,19522438,2654520,2256553,1946307,9031722,20111445,2677673,0
152390,373928752,99661182,7554319,9028206,1697931,37705621,62465630,1370300,0
152451,73136845,0,956704,1204120,0,516146,10941134,0,0
152497,,,234294,0,429336,726696,,508271,0
152530,248268000,33020000,5839715,12094193,1650453,31757979,66200000,1678650,0
152567,197072495,39722324,4221437,7401754,2963254,38066278,61889093,3201992,0
152600,578079000,169035000,12353000,24338000,3732923,83857169,117188000,4169961,0
152673,537122152,68640756,5517185,12331029,1088185,25092987,55409095,1432391,0
152798,24380279,1377430,834633,970252,358623,171361,11040279,924991,0
152992,42451317,16782474,1810422,7511154,1648054,12790335,24729712,1079139,0
153001,204820451,33835368,3097750,6666309,3716669,15292776,41408923,3633056,0
153108,182044293,79304643,2109376,8938156,1460083,26485137,44487146,2361355,0
153126,71480884,13630956,1193634,3197606,1127330,11290804,25625786,617251,0
153144,187151390,52071465,2880925,11399736,2239217,41988167,41580748,1922021,0
153162,214513669,47421127,2871944,9949482,1039130,27046371,41974157,743000,0
153241,35982081,644766,428555,1110813,101714,1207261,6965159,0,0
153250,163339577,21284450,2826173,7650203,1310845,21616361,42887590,1558476,0
153269,506477281,115606767,22109395,28285335,2686653,72589959,148851220,2587936,0
153278,323826885,75832390,5788672,12878033,4027870,25182958,63509099,2635377,0
153302,11452073,2247744,359942,1176138,419323,206303,5837990,282484,0
153320,19439873,2137206,389104,1163219,569960,974690,7542097,404730,0
153366,116316019,55230805,1941919,7997680,2019908,15473887,35396790,801746,0
153375,115318474,53209437,2997492,7570759,3347516,21685479,36607154,4347411,0
153384,2534032000,231049000,15928000,25973000,1544000,55325000,135988000,0,0
153542,,,0,0,12300,0,,0,0
153621,35770496,30495394,1062610,4464575,1580220,8026213,16427420,715532,0
153825,121818736,75980213,4184018,9730801,1570323,25331246,41339817,1788107,0
153834,292010961,48227568,4050737,14062497,1690770,53022451,72219455,1224960,0
153861,69123000,26466000,1911000,2376000,1065000,2689000,36441000,88000,0
