,,1 = public,1 = yes,1 = yes,1 = yes,"If tution varies for out of state students 1 yes 0 = no,",Offer room,Offer board,,,,,,,,,,,1 = Secondary GPA required to be reported,1 = requiredCompletion of college-preparatory program when apply,Num_applicants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UNITID,TYPE,religious_affiliation,for_profit,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 ,ADMCON1,ADMCON4,APPLCN,GRCOHRT,UGENTERN,RRFTCT,RET_PCF,STUFACR ,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT,STABBR,HLOFFER,SA09MOT,CREDITS1,CREDITS3,SLO8,STUSRV2,STUSRV3,LIBRES1,TUITPL1,TUITPL3,ATHASSOC, F1A06 ,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
344,147828,0,1,0,1,0,1,2,35960,990,35960,990,35960,990,36950,36950,1000,3300,1,0,4711,558,732,696,75,14,696,22,96,75145676,35,4847717,72,14752809,IL,9,7309287,1,1,1,1,1,1,0,1,1,"302,250,224.00",155351574,6518872,21689211,5015268,61588010,89701932,0,0
345,148016,0,0,0,1,0,1,2,29970,750,29970,750,29970,750,30720,30720,1000,1000,1,0,74,48,59,66,86,5,66,16,97,10990239,0,0,0,0,IL,5,4360333,1,1,0,1,1,1,0,1,1,"589,338,355.00",63825761,3587387,8330924,0,8717829,45471210,0,0
346,148131,0,1,0,1,0,1,1,31160,0,31160,0,31160,0,31160,31160,3150,3150,1,0,1223,217,429,215,73,15,215,21,87,22045155,32,1478453,60,4132618,IL,7,2585329,1,1,1,1,1,1,0,1,1,"59,920,482.00",39901177,1889194,7333143,1557002,17712545,25838068,1200812,0
347,148405,0,0,0,1,0,1,1,32800,250,32800,250,32800,250,33050,33050,3900,3900,1,0,2021,212,339,170,66,10,170,17,85,15168928,45,1988958,64,4704941,IL,7,3729095,1,1,1,1,1,1,0,1,1,"53,702,064.00",15285813,1737748,5897861,2162136,11227353,25808160,2095640,0
348,148487,0,0,0,1,0,1,2,31493,0,31493,0,31493,0,31493,31493,7700,5500,1,1,5379,487,923,361,67,11,712,18,90,66015518,50,9785722,66,19118611,IL,9,13431867,1,1,1,1,1,1,0,1,1,"460,474,323.00",314693104,17294799,27645422,9800743,53250822,162418276,4045450,0
349,148496,0,1,0,1,0,1,2,34950,470,34950,470,34950,470,35420,35420,1372,3872,1,1,4342,465,709,419,83,10,419,19,92,44080091,46,4776461,66,9657760,IL,9,0,1,1,1,1,1,1,0,1,1,"139,867,080.00",48900675,9104606,10254573,4871058,32458571,74726145,0,0
350,148584,0,1,0,1,0,1,1,35000,0,35000,0,35000,0,35000,35000,4120,4120,1,1,1917,209,456,235,81,13,235,13,86,31700325,35,2849439,62,7899507,IL,9,6504712,1,1,1,1,1,1,0,1,1,"96,850,136.00",45534570,7221767,9306799,2977843,22115025,48454339,3175288,0
351,148627,0,1,0,1,0,1,2,33630,1100,33630,1100,33630,1100,34730,34730,3310,2580,1,0,8306,721,998,668,78,16,668,23,96,68912465,53,7702844,87,14991605,IL,8,8914896,1,1,1,1,1,1,0,1,1,"126,945,077.00",39760091,5803477,10322589,7972068,51351388,59815431,8108474,0
352,148654,1,0,0,1,1,1,2,9592,2408,9592,2408,16120,2408,11911,21526,.,3300,1,1,3634,292,813,369,74,12,369,14,68,18909369,36,4393608,45,8248891,IL,9,14851284,1,1,1,1,1,1,1,1,1,"129,525,408.00",88719501,14773923,12721378,4488668,10816350,0,16986650,116501944
353,149028,0,1,0,0,0,2,3,26344,1116,26344,1116,26344,1116,27460,27460,4632,3900,1,0,3,2,61,1,100,6,1,0,94,1007223,46,373722,75,1291572,IL,9,0,1,1,0,1,0,1,0,1,2,"9,524,487.00",1701873,455508,486718,387657,194432,5385039,383072,29660
354,149222,1,0,0,1,1,1,2,9591,5466,9591,5466,9591,5466,15104,15104,2941,2941,1,1,6165,1322,2646,928,81,11,1019,12,78,77329437,36,15135936,51,29880312,IL,9,44536145,1,1,1,1,1,1,1,1,1,"706,401,831.00",353209098,257283248,57537823,14711820,11078547,0,40709668,834528866
355,149231,1,0,0,1,0,1,2,8559,2936,8559,2936,8559,2936,12219,12219,2906,2906,1,0,8773,1509,2729,1645,78,16,1645,16,72,59078981,33,16878757,48,32426221,IL,9,37182634,1,1,1,1,1,1,1,1,1,"493,083,351.00",186183556,24936343,37476855,16097799,11336869,0,19547802,375696942
356,149310,0,0,1,0,0,2,3,10350,300,10350,300,10350,300,10650,10650,4900,4900,0,0,75,,,38,76,8,38,36,23,234790,21,110502,8,61535,IL,3,0,0,0,0,1,1,1,0,1,2,"896,523.00",1016203,292369,159083,308148,0,2149771,0,0
357,149329,0,1,0,0,0,1,1,14500,0,14500,0,14500,0,14500,14500,3800,5600,0,1,22,22,22,19,79,13,19,27,97,686719,42,149215,0,0,IL,7,0,0,0,0,1,0,1,0,1,2,"13,921,046.00",4241613,0,375849,186904,924939,4593615,122850,0
358,149505,0,1,0,1,0,1,2,31700,475,31700,475,31700,475,32075,32075,3980,2980,1,1,1208,178,294,160,80,10,157,16,86,13945147,33,1400536,59,3552832,IL,8,3542611,1,1,1,1,1,1,0,1,1,"83,939,338.00",31265174,2577350,7173916,1559449,12441405,30762962,1916470,0
359,149514,0,1,0,1,0,1,2,32398,900,32398,900,32398,900,33298,33298,2585,2585,1,1,277,100,192,102,66,8,102,14,68,11143200,28,971707,57,2684310,IL,9,0,1,1,1,1,1,1,0,1,1,"98,327,567.00",35166801,2261969,4779390,949724,12548416,34371991,509389,0
360,149639,0,0,0,0,0,2,3,27670,2130,27670,2130,27670,2130,29800,29800,4100,4100,1,0,21,9,18,15,60,4,16,15,65,930780,31,156990,44,353219,IL,7,0,0,1,1,1,1,1,0,1,2,"7,974,714.00",2880009,349885,1081880,164733,646900,5091835,176526,0
361,149772,1,0,0,1,0,1,2,8712,4392,8712,4392,8712,4392,13314,13314,4030,4030,1,0,7603,1052,1785,884,77,13,884,15,90,46296862,48,13479661,63,28212989,IL,9,32896719,1,1,1,1,1,1,1,1,1,"257,390,254.00",108830162,18147027,22912330,13915028,12292867,0,18969032,260427711
362,149781,0,1,0,1,0,1,1,39100,0,39100,0,39100,0,39100,39100,2050,2050,1,1,1801,481,563,614,90,10,614,26,84,38813293,20,2233895,49,7445459,IL,9,18927759,1,1,1,1,1,1,0,1,1,"935,673,174.00",172022708,14997000,26401000,2316201,37048000,127309104,677532,0
363,150066,0,1,0,1,0,1,2,31470,630,31470,630,31470,630,32100,32100,2800,2800,1,0,3905,326,366,330,71,8,323,25,96,25369734,37,2226939,70,6268731,IN,9,5959621,1,1,1,1,1,1,0,1,1,"124,318,000.00",58776000,3890000,8996000,2255000,17484000,43975000,2936000,0
364,150136,1,0,0,1,1,1,1,9482,662,9482,662,26470,662,10144,27132,2710,4768,1,1,20167,3552,4636,4010,80,14,4043,24,69,134106909,33,28439660,53,60344181,IN,9,68432028,1,1,1,1,1,1,0,1,1,"1,308,238,698.00",539074521,58409137,21915321,25233605,33179354,0,82683812,590958682
365,150145,0,1,0,1,0,1,1,29250,540,29250,540,29250,540,29790,29790,6562,3128,1,0,1235,273,387,303,74,11,303,25,85,19820689,40,2143580,60,4978172,IN,7,3212830,1,1,1,1,1,1,0,1,1,"48,689,339.00",23767997,867787,7565027,2205843,13986426,26404796,2587992,0
366,150163,0,0,0,1,0,1,1,42410,990,42410,990,42410,990,43400,43400,3050,3050,1,1,14592,1102,1255,1116,86,12,1116,24,93,90950050,13,2769256,44,13273838,IN,9,24680115,1,1,1,1,1,1,0,1,1,"681,272,000.00",249985000,16500000,36932000,2840000,77841000,191904000,3634000,0
367,150400,0,0,0,1,0,1,2,51736,974,51736,974,51736,974,52710,52710,2100,2100,1,0,5481,382,406,423,89,8,423,21,96,63701627,19,1723127,39,5097436,IN,5,16560606,1,1,0,1,1,1,0,1,1,"1,044,669,443.00",242872114,13537040,19616990,1700031,60958242,109847185,1027671,0
368,150455,0,1,0,1,0,1,1,47106,985,47106,985,47106,985,48091,48091,2350,2350,1,1,2198,147,156,172,83,8,172,19,98,20462733,28,1168446,48,2781561,IN,7,5946973,1,1,1,1,1,1,0,1,1,"538,359,443.00",98749238,2392078,6963987,1189366,34393197,59020085,0,0
369,150534,0,1,0,1,0,1,1,37500,1186,37500,1186,37500,1186,38686,38686,2880,2730,1,0,4709,395,724,445,87,10,445,21,85,49175561,21,2013258,45,6210862,IN,9,11638770,1,1,1,1,1,1,0,1,1,"318,958,007.00",79465171,4930596,13252799,1994395,42355803,68034848,2762682,0
370,150604,0,1,0,1,0,1,1,33754,200,33754,200,33754,200,33954,33954,5000,5000,1,0,2073,293,322,270,79,11,270,29,98,21178933,37,1586095,73,4088332,IN,7,3948373,1,1,0,1,1,1,0,1,1,"142,128,594.00",30281035,3823657,7543115,1589174,15937909,30465549,2862432,0
371,150668,0,1,0,1,0,1,1,35230,0,35230,0,35230,0,35230,35230,2370,2370,1,0,984,198,285,160,76,10,160,19,94,19064610,33,1219892,62,3415033,IN,9,0,1,1,1,1,1,1,0,1,1,"180,018,624.00",26107034,2428685,5402807,1186132,15117819,29040821,1404749,0
372,150677,0,1,0,1,0,1,1,23304,0,23304,0,23304,0,27432,27432,3200,2800,1,0,3984,424,678,331,76,21,363,22,84,18183711,30,2074346,55,5605018,IN,9,3019493,1,1,1,1,1,1,1,1,1,"78,985,907.00",38180210,788316,7394276,2154174,20214350,37565356,2966064,0
373,150756,0,1,0,1,0,1,2,38880,770,38880,770,38880,770,39650,39650,1500,1500,1,0,2565,270,281,289,84,12,289,27,100,32406705,30,1536256,57,3963085,IN,5,5822623,1,1,1,1,1,1,0,1,1,"236,094,942.00",36404500,1478325,9659110,1539330,31522957,36551940,2239847,1029963
374,150774,0,1,0,1,0,1,1,32000,1250,32000,1250,32000,1250,33250,33250,1400,1400,0,0,644,198,223,112,68,13,187,42,85,8910264,29,609071,47,1345248,IN,5,704570,1,1,1,1,1,1,0,1,1,"44,153,541.00",26571527,898653,3210919,875785,6255024,12147266,598736,0
375,150941,0,1,0,1,0,1,1,25956,890,25956,890,25956,890,26846,26846,1350,6550,1,0,1075,230,405,215,77,12,215,19,81,14514768,32,1595283,56,4239300,IN,9,4335504,1,1,1,1,1,1,0,1,1,"88,113,397.00",24910889,2565940,7005937,1658745,11475478,32938923,1671441,0
376,151102,1,0,0,1,1,1,3,7593,1137,7593,1137,19824,1137,8730,20961,3509,3509,1,1,5540,1331,2979,1536,65,13,1543,16,60,37380149,26,11905114,30,16879562,IN,7,20144747,1,1,1,1,1,1,0,1,1,"283,886,597.00",114727226,14472955,15992800,11713224,0,0,13695903,141249882
377,151111,1,0,0,1,1,1,2,8795,1149,8795,1149,30477,1149,9944,31626,4076,4076,0,1,16220,3619,5432,4139,75,14,4178,20,70,154785379,35,33078924,40,53324598,IN,9,0,1,1,1,1,1,1,0,1,1,"2,158,667,767.00",632441362,269139314,42246510,36391094,0,0,82635083,1484034135
378,151263,0,1,0,1,0,1,1,30888,1380,30888,1380,30888,1380,32268,32268,4438,4438,1,1,7893,942,1228,1158,75,13,1158,26,97,91794261,39,8255833,62,19101439,IN,9,15577301,1,1,1,1,1,1,0,1,1,"265,228,375.00",126435355,10327629,27617752,8380283,66130495,127209995,12319227,0
379,151290,0,0,0,1,0,1,2,27530,470,27530,470,27530,470,28000,28000,5522,5522,1,0,3396,454,551,423,70,12,427,27,86,27153638,39,2812210,74,9293595,IN,9,4277947,1,1,0,1,1,1,1,1,1,"274,881,086.00",33337638,4244105,12858764,13179059,45842416,62434715,7117933,0
380,151306,1,0,0,1,1,1,2,8716,570,8716,570,20252,570,9285,20822,3000,3000,0,0,4158,1259,3444,1548,75,17,1563,17,66,40346093,25,10270656,37,20320800,IN,9,16215039,1,1,1,1,1,1,0,1,1,"361,769,561.00",150370281,17040010,13471932,10566982,9872305,0,28154751,164697722
381,151324,1,0,0,1,1,1,1,9186,280,9186,280,20290,280,9466,20570,2824,2824,1,1,13477,1761,2420,1880,69,18,1880,18,63,60487607,39,18548296,56,36918052,IN,9,0,1,1,1,1,1,1,0,1,1,"831,985,000.00",313503000,26950000,15133000,19522000,18981000,0,40157000,255020204
382,151333,1,0,0,1,1,2,3,7067,648,7067,648,19926,648,7715,20574,4076,1558,0,1,2319,613,965,614,70,16,626,21,81,13325553,37,4499823,41,7145356,IN,7,0,1,1,1,1,1,1,0,1,1,"69,795,938.00",11405013,3971697,4899553,4989219,0,0,4115021,40637649
383,151342,1,0,0,1,1,1,2,7067,648,7067,648,19926,648,7715,20574,4076,1558,0,1,2712,741,1156,776,67,12,797,18,78,22646899,41,8036178,43,11621121,IN,7,0,1,1,1,1,1,1,0,1,1,"160,727,978.00",45299058,7284217,4739976,8861377,0,0,8594959,76230972
384,151351,1,0,0,1,1,1,2,9815,1406,9815,1406,36194,1406,11221,37600,2830,4190,0,1,44129,7900,8772,8268,91,16,8268,25,71,254153842,18,28106070,30,59772276,IN,9,0,1,1,1,1,1,1,0,1,1,"3,417,659,755.00",1262096850,219042629,68710923,29773303,0,0,200247661,1964973737
385,151360,1,0,0,1,1,2,3,7067,648,7067,648,19926,648,7715,20574,4076,4076,0,1,2506,611,986,614,70,14,634,18,64,15640380,43,6547470,42,8874767,IN,7,0,1,1,1,1,1,1,0,1,1,"132,520,916.00",50253736,5829341,3453592,7377599,0,0,6366799,59238283
386,151379,1,0,0,1,1,1,2,7067,648,7067,648,19926,648,7715,20574,4076,1558,0,1,2549,726,1130,879,64,13,881,20,62,17894781,36,6647072,37,9630417,IN,7,0,1,1,1,1,1,1,0,1,1,"102,595,983.00",34236001,4889171,4634605,7343778,0,0,6064688,62810076
387,151388,1,0,0,1,1,2,3,7067,648,7067,648,19926,648,7715,20574,4076,1558,0,1,1980,348,888,417,67,14,417,12,56,13069829,36,5132526,39,9404619,IN,7,0,1,1,1,1,1,1,0,1,1,"50,670,252.00",6617781,3625160,5164422,5966186,0,0,5043928,38881730
388,151467,0,0,1,0,0,1,3,13960,0,13960,0,13960,0,13960,13960,1797,2735,1,0,490,95,114,113,71,14,113,39,76,1690309,70,902119,88,1313158,IN,3,0,0,0,0,1,1,1,1,0,2,"751,764.00",442113,780833,1562811,1258181,0,6201536,847697,0
389,151777,0,1,0,1,0,1,2,33178,1258,33178,1258,33178,1258,34436,34436,3342,4705,1,0,4001,350,376,331,71,15,332,31,100,26692276,43,2075303,88,6178534,IN,9,4067569,1,1,1,1,1,1,0,1,1,"163,832,946.00",34241874,5598190,7088259,2118034,21013629,42808989,3263710,0
390,151786,0,1,0,1,0,1,2,36000,0,36000,0,36000,0,36000,36000,3964,3285,1,0,2816,460,656,384,84,13,384,16,66,40553821,24,2706780,65,11747800,IN,9,7820208,1,1,1,1,1,1,0,1,1,"268,495,612.00",150162139,9385224,17252970,2844682,30880645,96349533,5556355,0
391,151801,0,1,0,1,0,1,1,28184,0,28184,0,28184,0,28184,28184,2700,5484,1,0,2942,567,865,670,81,13,670,24,92,44640936,28,3423411,59,10712528,IN,8,19155853,1,1,1,1,1,1,0,1,1,"526,729,035.00",62588488,8491133,21581352,3331153,28027517,173558983,4036910,0
392,152080,0,1,0,1,0,1,1,57192,507,57192,507,57192,507,57699,57699,1950,1950,0,0,21253,2193,2450,2051,97,9,2051,23,61,215926523,10,4359955,31,14935350,IN,9,149254171,0,1,1,1,1,1,0,1,1,"18,413,619,000.00",3920126000,126085000,56790000,4349000,335613000,1280130000,532000,0
393,152099,0,1,0,0,0,1,1,24990,0,24990,0,24990,0,24990,24990,3964,3964,1,0,913,96,149,103,85,12,112,9,33,8193518,18,999242,11,891278,IN,9,1722604,1,1,1,1,1,1,0,1,1,"57,230,628.00",14947769,215233,1947076,1036273,6141103,23122609,0,0
394,152318,0,0,0,1,0,1,1,49479,1035,49479,1035,49479,1035,52914,52914,1560,1560,0,1,4376,530,545,496,90,10,496,25,97,44110414,12,1089007,45,5650337,IN,7,17039170,1,1,0,1,1,1,0,1,1,"458,661,917.00",125902512,5130663,14533261,1042329,38222174,95364284,898898,0
395,152336,0,1,0,0,0,1,1,31144,1130,31144,1130,31144,1130,32420,32420,3000,3000,1,0,1676,402,524,361,73,12,387,22,94,30268343,43,3210398,70,8706719,IN,9,4468542,1,1,1,1,1,1,0,1,1,"127,841,101.00",27899199,3916741,7440913,3373124,22085248,48970064,2826442,0
396,152381,0,1,0,1,0,1,1,29950,1200,29950,1200,29950,1200,31150,31150,3609,3609,1,0,657,148,252,143,69,8,143,19,93,14729782,52,1948021,75,3467983,IN,7,0,1,1,1,1,1,1,1,1,1,"29,292,127.00",19522438,2654520,2256553,1946307,9031722,20111445,2677673,0
397,152390,0,1,0,1,0,1,1,44760,960,44760,960,44760,960,45720,45720,2400,1800,1,0,2412,392,429,381,85,9,381,26,98,45364775,25,1695378,63,9478090,IN,9,9612237,1,1,1,1,1,1,0,1,1,"373,928,752.00",99661182,7554319,9028206,1697931,37705621,62465630,1370300,0
398,152530,0,1,0,1,0,1,1,36535,265,36535,265,36535,265,36800,36800,2400,2400,1,1,2177,416,474,490,89,13,490,23,84,39462736,17,1637463,42,5351216,IN,7,7756277,1,1,1,1,1,1,0,1,1,"248,268,000.00",33020000,5839715,12094193,1650453,31757979,66200000,1678650,0
399,152567,0,0,0,1,0,1,1,32990,500,32990,500,32990,500,33490,33490,3500,3300,1,0,3841,632,1408,618,84,17,618,16,53,46011765,16,2632254,40,9643817,IN,9,7412137,1,1,1,1,1,1,0,1,1,"197,072,495.00",39722324,4221437,7401754,2963254,38066278,61889093,3201992,0
400,152600,0,1,0,1,0,1,2,41940,1346,41940,1346,41940,1346,43286,43286,1620,1620,0,0,5991,635,783,646,83,11,646,22,98,85265890,27,3752245,57,11311522,IN,9,16181000,1,1,1,1,1,1,0,1,1,"578,079,000.00",169035000,12353000,24338000,3732923,83857169,117188000,4169961,0
401,152673,0,0,0,1,0,1,1,45000,850,45000,850,45000,850,45850,45850,1950,1950,1,1,1522,240,249,229,84,9,229,26,100,29191480,28,1081990,66,3720239,IN,5,7263615,1,1,1,1,1,1,0,1,1,"537,122,152.00",68640756,5517185,12331029,1088185,25092987,55409095,1432391,0
402,152798,0,0,0,1,0,2,3,17864,1648,17864,1648,17864,1648,19512,19512,4936,4936,0,0,0,,,0,,11,0,0,90,2024380,22,304864,82,2283377,IA,9,1113532,1,1,0,1,1,1,0,1,2,"24,380,279.00",1377430,834633,970252,358623,171361,11040279,924991,0
403,153001,0,1,0,1,0,1,1,36426,0,36426,0,36426,0,36426,36426,6493,4356,1,0,1787,229,427,230,74,10,230,16,87,22921158,49,3254113,77,8154292,IA,7,0,1,1,1,1,1,1,0,1,1,"204,820,451.00",33835368,3097750,6666309,3716669,15292776,41408923,3633056,0
404,153108,0,1,0,1,0,1,1,18600,0,18600,0,18600,0,18600,18600,3116,3116,1,1,2340,324,377,337,73,11,337,29,96,32098846,27,1393674,75,5781911,IA,5,6639441,1,1,1,1,1,1,0,1,1,"182,044,293.00",79304643,2109376,8938156,1460083,26485137,44487146,2361355,0
405,153126,0,1,0,1,0,1,1,34650,1100,34650,1100,34650,1100,35750,35750,3360,3360,1,0,1102,146,210,134,72,8,127,19,99,13424835,35,1046346,81,5490737,IA,9,3366494,1,1,1,1,1,1,0,1,1,"71,480,884.00",13630956,1193634,3197606,1127330,11290804,25625786,617251,0
406,153144,0,1,0,1,0,1,2,46860,350,46860,350,46860,350,47220,47220,2670,2670,1,0,7041,392,425,379,81,12,379,27,96,47917751,34,2227385,73,6973710,IA,5,7609153,1,1,1,1,1,1,0,1,1,"187,151,390.00",52071465,2880925,11399736,2239217,41988167,41580748,1922021,0
407,153162,0,1,0,1,0,1,1,45288,626,45288,626,45288,626,45914,45914,3253,3253,1,0,2615,290,318,270,74,12,270,26,99,30232639,23,1032286,61,4216435,IA,7,5626589,1,1,1,1,0,1,0,1,1,"214,513,669.00",47421127,2871944,9949482,1039130,27046371,41974157,743000,0
408,153241,0,1,0,1,0,1,1,13600,180,13600,180,13600,180,13780,13780,3000,2800,1,0,1,1,10,0,,5,0,0,98,539534,15,29200,9,7976,IA,5,946218,0,1,0,1,0,1,0,1,2,"35,982,081.00",644766,428555,1110813,101714,1207261,6965159,0,0
409,153250,0,1,0,1,0,1,1,32240,580,32240,580,32240,580,32820,32820,4400,4400,1,1,1495,391,503,387,84,14,387,28,100,23957622,22,1298558,53,4325624,IA,7,0,1,1,1,1,1,1,0,1,1,"163,339,577.00",21284450,2826173,7650203,1310845,21616361,42887590,1558476,0
410,153269,0,0,0,1,0,1,1,44188,178,44188,178,44188,178,44376,44376,3700,3200,1,0,6624,737,827,779,86,10,779,26,97,73696442,19,2522923,49,9125316,IA,9,19317162,1,1,1,1,1,1,1,1,1,"506,477,281.00",115606767,22109395,28285335,2686653,72589959,148851220,2587936,0
411,153278,0,1,0,1,0,1,1,34070,1630,34070,1630,34070,1630,36610,36610,3790,1550,1,0,1844,421,477,384,66,15,384,20,88,40427715,48,4106450,70,9942448,IA,9,0,1,1,1,1,1,1,0,1,1,"323,826,885.00",75832390,5788672,12878033,4027870,25182958,63509099,2635377,0
412,153302,0,1,0,0,0,1,1,19250,0,19250,0,19250,0,19250,19250,1380,1380,1,0,114,43,66,45,67,7,52,24,94,2769431,45,464770,35,477382,IA,5,917482,1,1,1,1,1,1,0,1,1,"11,452,073.00",2247744,359942,1176138,419323,206303,5837990,282484,0
413,153320,0,1,0,1,0,1,1,16990,660,16990,660,16990,660,17650,17650,3116,3116,1,0,250,88,229,47,72,15,82,26,86,3475822,43,588672,30,494025,IA,9,939840,1,1,1,1,1,1,0,1,1,"19,439,873.00",2137206,389104,1163219,569960,974690,7542097,404730,0
414,153366,0,1,0,1,0,1,1,30650,670,30650,670,30650,670,31320,31320,3120,3120,1,0,2521,211,282,193,78,14,193,19,86,19647694,49,2319731,74,6180433,IA,9,2788390,1,1,1,1,1,1,0,1,1,"116,316,019.00",55230805,1941919,7997680,2019908,15473887,35396790,801746,0
415,153375,0,1,0,1,0,1,2,29076,716,29076,716,29076,716,29792,29792,3640,3640,1,0,1810,294,513,330,69,12,330,19,94,29313230,39,3256770,72,8744492,IA,7,5401716,1,1,1,1,1,1,0,1,1,"115,318,474.00",53209437,2997492,7570759,3347516,21685479,36607154,4347411,0
416,153384,0,0,0,1,0,1,1,56188,492,56188,492,56188,492,56680,56680,.,.,0,0,8137,360,371,459,81,8,459,26,86,58888837,19,1532347,38,2795758,IA,5,20626220,0,1,1,1,1,1,0,1,1,"2,534,032,000.00",231049000,15928000,25973000,1544000,55325000,135988000,0,0
417,153603,1,0,0,1,1,1,2,8042,1274,8042,1274,23230,1274,9316,24504,2430,2430,1,1,20223,4974,6636,5469,89,18,5476,19,97,177859388,20,26436551,48,81515744,IA,9,132024411,1,1,1,1,1,1,0,1,1,"2,556,026,582.00",805808401,231224369,36835325,27396850,2292473,0,153136715,1349610898
418,153621,0,1,0,1,0,1,2,24180,1100,24180,1100,24180,1100,25280,25280,3500,3500,1,0,4169,211,262,151,62,12,151,25,74,5853064,53,794989,73,992323,IA,7,1561186,1,1,1,1,1,1,0,1,1,"35,770,496.00",30495394,1062610,4464575,1580220,8026213,16427420,715532,0
419,153658,1,0,0,1,1,1,2,8073,1533,8073,1533,30036,1533,9606,31569,3724,3724,1,1,24132,4460,5649,4925,88,16,4925,21,68,139541097,19,19986485,42,64345343,IA,9,114306034,1,1,1,1,1,1,0,1,1,"8,102,477,000.00",3351071000,191504000,51400000,19046000,1974000,0,112251000,3805943000
420,153825,0,1,0,1,0,1,2,33500,1718,33500,1718,33500,1718,35218,35218,2011,2111,1,0,2482,294,404,326,79,12,326,24,96,28899136,27,1523751,67,5750415,IA,7,5929828,1,1,1,1,1,1,0,1,1,"121,818,736.00",75980213,4184018,9730801,1570323,25331246,41339817,1788107,0
421,153834,0,1,0,1,0,1,1,45000,610,45000,610,45000,610,45610,45610,3051,3015,1,0,3640,452,477,527,77,11,527,27,98,61361369,20,1665387,63,7820305,IA,5,10560666,1,1,1,1,1,1,0,1,1,"292,010,961.00",48227568,4050737,14062497,1690770,53022451,72219455,1224960,0
422,153861,0,0,0,1,0,1,1,16000,530,16000,530,16000,530,16530,16530,3800,3800,1,0,50,19,154,15,47,12,15,3,49,2622532,41,940541,44,1859472,IA,9,0,1,1,0,1,1,1,0,1,2,"69,123,000.00",26466000,1911000,2376000,1065000,2689000,36441000,88000,0
423,153977,0,1,0,0,0,2,3,18332,0,18332,0,18332,0,18332,18332,5910,5910,1,0,120,26,387,37,62,8,47,6,81,4300125,36,1326337,72,4518752,IA,5,0,1,1,0,1,1,1,0,1,2,"48,294,433.00",4317319,1774298,2544479,1469030,64070,16926450,2544427,0
424,154004,0,1,0,1,0,1,1,32460,1510,32460,1510,32460,1510,33970,33970,2800,2800,1,0,3388,358,461,367,69,13,367,29,93,27112668,31,1651499,71,6032237,IA,9,4293089,1,1,1,1,1,1,0,1,1,"128,662,837.00",44449533,2857942,8535721,1691149,20555092,38036316,2289508,756594
425,154013,0,1,0,1,0,1,1,34506,1000,34506,1000,34506,1000,35506,35506,6460,4870,1,0,1160,223,370,217,80,14,217,15,100,23490805,40,2324151,56,8897789,IA,9,3552972,1,1,1,1,1,1,0,1,1,"97,731,253.00",23429310,3696247,7299400,2324151,17517849,33156066,3286126,0
426,154095,1,0,0,1,1,1,2,7665,1273,7665,1273,19949,1273,8938,21222,2396,2396,1,1,5085,1474,2199,1453,86,17,1453,16,67,35421653,26,9953185,53,28250416,IA,9,33212600,1,1,1,1,1,1,0,1,1,"601,548,406.00",184842089,29713614,12497234,10370865,2000,0,23310230,282278920
427,154101,0,1,0,1,0,1,1,32700,220,32700,220,32700,220,32920,32920,2980,2980,0,0,1136,273,325,292,79,11,293,28,96,22025813,25,1018433,62,4164119,IA,7,4384386,1,1,1,1,1,1,0,1,1,"150,007,512.00",11012131,5383107,6864269,1070237,18220456,31939341,1444673,0
428,154235,0,1,0,1,0,1,1,32478,280,32478,280,32478,280,32758,32758,6594,3624,1,0,4607,520,749,475,83,12,475,21,93,40809277,26,2602492,68,10604566,IA,9,10116536,1,1,1,1,1,1,0,1,1,"330,550,712.00",92398121,7384520,10774951,2602492,32353367,80335281,1691089,0
429,154262,0,1,0,0,0,2,3,19440,1500,19440,1500,19440,1500,20940,20940,3285,3285,1,0,27,8,59,0,,5,4,2,97,1566226,48,445934,70,1099013,IA,5,0,1,1,0,1,1,1,0,1,2,,,1273480,670276,393790,198670,,466462,0
430,154350,0,1,0,1,0,1,2,41466,780,41466,780,41466,780,42246,42246,4238,4238,1,1,1300,295,363,292,77,11,292,22,96,35244712,36,2086085,72,6282794,IA,7,4777682,1,1,1,1,1,1,0,1,1,"150,227,314.00",37095369,1566795,9614884,2079957,26694779,37685829,3245000,0
431,154493,0,0,0,1,0,1,1,31950,995,31950,995,31950,995,32945,32945,3352,3352,1,0,1098,198,603,204,74,11,204,6,64,27085968,38,6501781,54,18873590,IA,8,1989125,1,1,1,1,1,1,0,1,1,"113,828,825.00",76592483,1843814,11440341,8353931,18395220,53713591,2465363,0
432,154518,0,0,1,0,0,1,1,21886,1202,21886,1202,21886,1202,23088,23088,3223,3223,1,0,1040,156,421,163,26,25,166,7,69,16408917,34,3179818,43,6910525,IA,7,2222448,1,1,1,1,0,1,0,1,1,"14,126,249.00",10936616,2995419,4252937,4544571,8220310,24146198,327816,0
