,,1 = public,1 = yes,1 = yes,1 = yes,"If tution varies for out of state students 1 yes 0 = no,",Offer room,Offer board,,,,,,,,,,,1 = Secondary GPA required to be reported,1 = requiredCompletion of college-preparatory program when apply,Num_applicants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UNITID,TYPE,religious_affiliation,for_profit,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 ,ADMCON1,ADMCON4,APPLCN,GRCOHRT,UGENTERN,RRFTCT,RET_PCF,STUFACR ,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT,STABBR,HLOFFER,SA09MOT,CREDITS1,CREDITS3,SLO8,STUSRV2,STUSRV3,LIBRES1,TUITPL1,TUITPL3,ATHASSOC, F1A06 ,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
22,101693,0,1,0,1,0,1,1,22700,1665,22700,1665,22700,1665,24310,24310,4800,4800,1,0,2037,249,598,266,78,14,266,15,67,15726234,30,2505794,47,7709984,AL,9,2504036,1,1,1,1,1,1,0,1,1,"69,808,365.00",37202523,874487,2908818,2511249,14114661,27326468,855345,0
23,101709,1,0,0,1,1,1,2,12090,1620,12090,1620,25110,1620,13710,26730,5984,6085,1,0,4954,455,668,482,78,12,482,22,90,23082946,39,4291888,55,8507853,AL,8,9741859,1,1,1,1,1,1,0,1,1,"126,438,432.00",133102624,8227788,12943789,4479335,84075,0,16064601,86013798
24,101879,1,0,0,1,1,1,2,9600,1020,9600,1020,19200,1020,10620,20220,2800,2800,1,0,2739,905,1901,1020,77,15,1020,17,74,32589994,35,10211777,46,17948741,AL,9,21202856,1,1,1,1,1,1,0,1,1,"264,947,607.00",233664469,6760322,12747796,10469313,109026,0,22131096,125864568
25,101912,0,1,0,1,0,1,1,18974,1016,18974,1016,18974,1016,19990,19990,6800,6800,1,0,1135,303,356,299,74,10,299,22,86,12194882,54,3663289,75,4160263,AL,7,0,1,1,0,1,1,1,0,1,1,"104,408,271.00",19154713,3927896,5565380,3774656,7367675,57843238,60142,0
26,102049,0,1,0,1,0,1,2,33248,950,33248,950,33248,950,34198,34198,5452,5302,1,1,3867,971,1050,900,87,12,900,25,95,60114943,11,1885590,31,7077171,AL,9,20645389,1,1,1,1,1,1,0,1,1,"717,316,592.00",460870054,13000955,29910623,1900665,60730000,174210922,1163228,0
27,102094,1,0,0,1,1,1,2,7896,500,7896,500,15792,500,8396,16292,5370,5370,1,0,8084,1550,2482,1600,76,17,1600,17,72,45211943,39,18312268,55,59255751,AL,9,23826647,1,1,1,1,1,1,0,1,1,"1,514,346,000.00",1180763000,33680000,44931000,18170000,35000,0,38995000,881057000
28,102234,0,1,0,1,0,1,2,39336,2532,39336,2532,39336,2532,41868,41868,3496,3496,0,0,2742,245,297,292,81,13,292,25,99,37783820,37,2145023,81,9233807,AL,8,4151404,1,1,1,1,1,1,0,1,1,"150,695,783.00",69298942,2534760,6783661,2199991,31228807,38976023,643228,0
29,102270,0,1,0,1,0,1,1,9548,1744,9548,1744,9548,1744,11322,11322,4572,4572,1,0,1230,118,181,231,56,18,227,26,90,6281267,79,3579888,80,5005094,AL,5,0,1,1,1,1,1,1,0,1,1,"68,739,990.00",47762503,1182778,2314781,3606677,1804795,17010814,0,0
30,102368,1,0,0,1,1,1,1,7800,1108,7800,1108,15600,1108,8908,16708,6766,6766,1,0,7018,1527,3327,1365,77,18,1395,11,72,57392547,41,23420075,64,46052351,AL,9,0,1,1,1,1,1,1,0,1,1,"558,801,599.00",366372406,18429461,39633247,25250249,424218,0,27568407,257801747
31,102377,0,0,0,1,0,1,1,19594,3020,19594,3020,19594,3020,22614,22614,7654,4855,1,0,11113,485,536,518,77,11,513,21,57,36411491,57,6906993,8,1314605,AL,9,0,1,1,1,1,1,1,0,1,1,"403,219,551.00",138268783,5485588,9052996,6721945,18376116,127114367,1470960,0
