UNITID,F1A06,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
155210,389428687,95671880,30434273,20002117,11864177,0,0,4539531,199224982
155292,94041474,31397092,8934660,7267757,7211476,1163381,0,7333699,70587252
155317,2448495797,1037075676,77169964,44865000,18147097,7407849,0,31221754,1503066553
155399,1579609835,665192145,57132651,35280210,16864011,3599909,0,44684292,951118000
155423,,,1990996,1307358,1150716,0,0,901261,
155450,16626768,1607361,801845,2243057,2122872,0,0,793904,14727928
155487,7040340,2641019,573494,659395,689907,182004,0,1076439,7343912
155566,25720626,12903960,875237,4314770,1862462,0,0,1385917,22143682
155593,7190661,757538,159533,708444,1142762,289911,0,420683,10717575
155618,15089908,2004300,20845,2575779,967937,3000,0,1432669,8742079
155681,240845915,73637296,9531961,10367275,7835836,876157,0,6224256,113118791
155715,38824053,7089358,756364,2383065,1328908,17517,0,150613,16547016
155830,5268974,239739,219174,428909,621205,15000,0,501477,5513607
155858,40792985,9363035,700911,3623375,1991621,9649,0,1271040,24328736
156082,214416899,62874545,15625411,13699845,7310652,333241,0,21986426,99955317
156107,31944433,4434617,6305767,5567133,5797736,24026,0,7406191,32593631
156125,400839350,140988381,38100486,37995434,18142049,1855131,0,25331747,450995700
156231,,,2162959,3004996,1148327,1448582,0,6829576,
156338,,,690875,1924696,1734217,2304753,0,8466219,
156392,,,2101635,7900268,3902992,5233720,0,19167450,
156620,636392466,474876438,28013298,21927439,23492688,20140709,0,63606779,217985745
156648,,,1972516,3514769,1699040,2676827,0,11755424,
156790,,,2229062,3511961,758777,1583760,0,6594809,
156851,,,642143,960186,346706,577520,0,2923511,
156860,,,885791,2504303,2506771,872761,0,4371655,
156921,,,5086952,7017586,3827134,5121491,0,20607076,
157058,117472921,110572314,416254,9874188,4703308,1009706,0,4620623,68524526
157085,7308932765,2227816542,127079264,50088265,23937992,30071750,0,189869440,3644910176
157289,1504111000,536523000,155312000,36477000,18672000,28090000,0,98618000,1039714000
157304,,,1766138,2603065,629218,1243707,0,6144114,
157331,,,1087622,2830335,1088542,1957194,0,8644009,
157386,322054544,223897262,8948869,20946670,14148002,10933347,0,34696721,137338603
157401,435068033,289589120,12806482,21940249,11482999,9208638,0,51829577,180569075
157438,,,2792234,3852490,820320,1428681,0,8121389,
157447,563167000,571939000,31775000,30235000,14438000,11501000,0,44690000,278740000
157483,,,1101959,3468937,1391455,2297914,0,10626641,
157553,,,871266,3098182,1342788,2309064,0,8273632,
157711,,,2759313,4436773,1823609,3109597,0,13796560,
157739,,,2187015,2942538,966408,1592125,0,7284583,
157854,1271227784,493080235,6877102,7448787,,,,,522129397
157951,596342201,489205287,26595262,41746630,21279497,3913128,0,66165773,261161018
158088,11180717,37845306,1194182,1388987,4998664,385097,0,4900482,20902567
158431,36065844,67702482,1830454,3970757,16895927,1526796,203295,7242399,50525779
158662,119386493,175357227,8375698,5913303,38639136,50217,0,18571278,117150375
158884,46189340,26093864,1278203,1327597,6356871,5500,1000,3941087,14358306
159009,167902610,218053852,3471756,4680894,17610019,0,0,15932850,91305200
159373,641965466,703034105,22798737,9244848,1049060,0,0,4371308,773226055
159382,47601784,59426934,1644350,2293690,6793814,0,0,4043821,31745489
159391,2307808553,2863978548,90955391,28935582,31391517,1576020,0,101668659,1242922739
