UNITID,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT
444219,888,10,59,12303743,19,6240440,2,1244136
444228,7,21,50,61178,50,61178,59,95720
444255,63,48,86,691622,70,400405,66,628054
444264,26,16,100,135493,100,128778,0,0
444282,38,30,53,267986,51,234914,41,425126
444291,66,44,60,410053,58,347401,57,679697
444307,45,38,68,394677,67,318944,60,566200
444316,150,86,42,335046,42,335046,53,553993
444325,15,21,82,307018,82,304518,79,354952
444334,15,11,33,278891,33,277893,31,503956
444343,22,9,65,829183,64,770954,47,872270
444361,73,61,94,667408,94,661808,74,530024
444370,32,43,59,178958,52,114149,51,147161
444398,9,6,92,793654,45,246836,12,75925
444404,29,83,100,189524,91,157845,0,0
444413,52,40,57,439170,15,107500,0,0
444440,22,30,82,198749,79,143082,74,149914
444468,10,83,83,47909,83,47909,25,19302
444486,62,12,72,1819422,55,1513162,56,800306
444510,13,7,65,621095,54,499002,61,882267
444529,46,51,68,182836,68,182836,41,159293
444556,638,69,84,4461405,50,1991609,65,4886790
444565,118,43,57,894168,46,522774,56,1429973
444583,394,52,98,4785323,90,3237008,24,855748
444592,207,61,57,1065397,57,1065397,61,1482000
444635,0,0,70,275449,70,259700,67,460935
444662,94,38,52,632924,52,632924,51,779406
444671,130,60,100,1205935,100,965502,0,0
444714,153,48,74,954221,74,854634,73,1365312
444732,33,37,100,423548,100,410978,0,0
444778,0,0,59,76291,48,54612,70,117752
444787,260,18,50,3378605,48,3291848,81,12662350
444796,128,53,53,763000,53,763000,47,493605
444811,145,28,60,728858,60,728858,60,2502124
444857,12,8,56,350573,56,350573,77,684641
444866,105,34,71,949921,63,693624,54,1193571
444893,554,93,55,938285,54,898285,50,1143129
444936,161,54,69,1045080,34,426717,12,186229
444945,481,63,78,6183487,71,2363447,71,3600319
444954,321,18,54,4756414,43,3126104,28,1862343
445027,903,10,85,42527464,78,37885239,79,56256372
445133,10,4,78,866895,64,718908,70,1396927
445188,2101,26,93,165012963,64,26976968,45,19093673
