UNITID,ADMCON1,ADMCON4,APPLCN
120768,1,5,15
120865,1,2,1543
120883,1,3,14063
121150,1,2,11768
121257,1,2,4260
121309,1,1,2949
121345,5,1,10388
121691,1,5,4900
122409,1,1,64784
122436,1,1,13171
122454,1,3,169
122506,1,2,502
122597,1,1,31430
122612,1,1,21477
122728,1,2,710
122755,1,1,32375
122931,1,1,16488
123165,5,2,2938
123280,1,3,4
123457,1,2,1276
123554,1,1,5364
123572,1,1,13353
123651,1,2,4055
123679,3,3,285
123952,1,3,422
123961,1,1,59712
124292,1,1,235
124706,3,3,418
124937,3,3,323
125727,1,1,2493
125763,1,1,5038
125897,1,2,1554
126076,3,1,70
126182,1,2,1690
126359,1,3,320
126562,1,2,9458
126580,2,2,8944
126614,1,1,44203
126678,5,2,10257
126687,3,3,108
126775,1,1,12044
126784,3,3,36
126818,1,2,28843
127060,1,2,22723
127185,1,3,3497
127556,1,2,8796
127565,1,2,12045
127653,1,2,160
127741,1,2,9149
127918,1,3,5912
127954,3,3,7
128106,1,2,2181
128328,1,2,10747
128391,1,1,2625
128498,1,5,1697
128586,3,1,24
128744,1,2,6020
128771,1,1,7724
128902,5,2,6882
129020,1,1,34437
129215,1,2,5182
129242,1,1,12586
129525,2,1,12660
129774,1,1,1307
129941,1,2,10671
130110,5,3,127
130226,1,1,19798
130253,1,2,12189
130314,1,2,1579
130493,1,2,8504
130590,2,1,5952
130624,1,5,1862
130697,5,2,12632
130776,1,1,5196
130794,2,3,35220
130934,1,2,11317
130943,1,1,33656
130989,1,2,652
131098,1,2,1594
131159,1,1,20036
131283,1,1,6258
131450,1,2,412
131469,2,1,26405
131496,1,2,21190
131520,1,1,24325
131830,3,3,2
131876,1,1,831
132408,1,5,90
132471,1,2,10671
132602,1,5,5938
132657,1,2,8053
132842,1,3,47
132879,1,2,193
132903,1,2,47957
133492,1,2,4815
133526,1,2,5364
133553,5,1,9581
133650,1,1,9472
133669,1,1,25300
133711,1,1,5431
133809,1,2,317
133845,3,3,225
133854,3,3,180
133863,3,3,195
133872,1,3,263
133881,1,2,9803
133951,1,1,16904
133979,1,2,3929
134079,1,2,9116
134097,1,1,63691
134130,1,5,48193
134945,1,2,7354
135081,5,5,4678
135364,1,3,18
135726,1,2,40133
136172,1,2,16551
136215,1,1,13727
136330,1,2,1581
136774,1,2,2420
136950,1,2,6080
137032,1,5,5662
137272,1,3,13
137351,1,5,38696
137476,1,5,5649
137546,1,1,11957
137564,1,2,5689
137847,1,1,24886
137953,2,3,163
137962,1,3,105
138275,5,2,1177
138293,1,2,3282
138354,1,2,7232
138558,1,1,2403
138600,1,1,1838
138716,1,1,7655
138761,1,2,631
138868,1,2,1044
138947,1,1,15613
139144,1,1,4166
139199,1,2,1139
139205,1,3,483
139250,1,1,2267
139311,1,1,2362
139366,1,1,5336
139393,1,2,612
139630,1,2,946
139658,2,2,28211
139719,1,1,5693
139755,1,1,40852
139764,1,1,2598
139861,1,1,4515
139931,1,1,17250
139940,1,1,20409
139959,1,1,28206
139968,1,2,2257
140234,1,2,1624
140252,1,2,408
140340,2,3,93
140447,1,1,5651
140553,1,2,3258
140696,1,1,2386
140720,1,2,2403
140818,1,2,1457
140872,1,2,1142
140951,1,2,14327
140960,1,1,10032
140988,1,2,1548
141060,1,1,9118
141167,1,2,840
141185,1,2,1119
141237,1,2,702
141264,1,1,9887
141325,1,2,1142
141334,1,1,6634
141361,1,2,2216
141486,1,2,1714
141565,1,2,3152
141574,1,1,13240
141644,1,1,8296
141981,1,1,713
142090,1,2,52
142115,1,2,15511
142285,1,2,9938
142294,1,2,3677
142328,2,2,1577
142461,1,2,2793
142522,1,2,10234
142957,1,3,0
143048,3,3,6530
143084,1,2,6894
143118,1,1,2965
143288,1,2,734
143358,1,1,10202
143978,1,5,39
144005,1,2,4151
144050,5,1,34350
144281,2,2,8061
144351,1,2,4786
144740,1,1,27869
144892,1,1,8999
144962,1,2,4299
144971,1,2,1100
