UNITID,SA09MOT
157863,1872175
157951,41832619
158088,2077772
158343,0
158431,5372066
158477,3446879
158662,16145996
158802,3991237
158884,1491983
159009,8198566
159197,0
159373,0
159382,4182037
159391,107915320
159407,2378816
159416,10633363
159568,2867663
159647,23471218
159656,16856440
159717,15274897
159939,19419147
159948,0
159966,13213399
159993,14372013
160010,430356
160038,13620018
160065,4669706
160074,0
160409,0
160481,2626278
160524,0
160579,3420314
160612,29830655
160621,14629808
160630,4330374
160649,2610665
160658,45944195
160667,4131480
160755,81674891
160904,14220050
160959,0
160977,17833838
160995,0
161004,24640703
161022,0
161077,3051141
161086,24177031
161138,3388282
161192,2230496
161208,0
161217,6142743
161226,7789535
161235,1809477
161244,1632543
161253,44389414
161299,0
161341,1904219
161457,12315343
161484,2302278
161509,1284262
161518,3497257
161545,5460660
161554,23845804
161563,2206161
161572,1130365
161581,1126508
161688,0
161767,0
161864,0
161873,0
162007,16821452
162061,383513
162104,0
162122,0
162168,0
162210,0
162283,0
162557,0
162584,0
162609,0
162654,0
162690,0
162706,0
162760,6827507
162779,0
162928,141015271
163028,0
163046,0
163204,0
163259,0
163268,41790630
163286,155204378
163295,0
163338,9901545
163426,0
163453,28709320
163462,8345972
163532,0
163578,0
163657,0
163851,0
163912,0
163976,0
164076,0
164085,0
164155,0
164173,5911658
164216,7404182
164270,7647519
164313,0
164368,0
164447,3491244
164465,30287002
164492,2426551
164562,10158910
164580,29688167
164614,0
164632,2362119
164641,1234411
164720,2864636
164739,37677448
164748,29499973
164775,4006113
164872,0
164915,97749
164924,123895090
164988,207359837
165015,43907025
165024,29881500
165033,0
165112,10440209
165167,0
165194,0
165264,0
165334,21064792
165495,0
165529,10005708
165574,0
165644,1017287
165662,20963713
165671,7869441
165699,10795724
165802,0
165820,17042489
165866,16003718
165884,1880305
165936,0
165945,0
165981,3148524
166018,3552943
166027,251296909
166045,0
166054,0
166124,30689007
166133,7832144
166391,5693609
166407,0
166452,6139767
166489,746127
166513,69176020
166629,162650608
166638,66999084
166647,4905385
166656,3210784
166674,10138541
166683,236329012
166692,0
166708,0
166717,0
166823,0
166850,0
166869,0
166887,7431950
166911,1013000
166939,20730787
166957,4354356
167057,0
167093,0
167215,0
167260,0
167288,7067655
167312,7996345
167358,155741953
167376,5244351
167394,3257104
167455,0
167464,449398
167525,2984093
167534,6793826
167598,4581046
167631,2520000
167677,0
167729,0
167783,776829
167792,3317722
167835,33057114
167899,12791623
167905,7814834
167987,38496932
167996,14997468
168005,37757538
168148,66464961
168218,36966724
168227,14080960
168254,17307363
168263,20286098
168281,10091172
168342,37600242
168421,42938512
168430,16796169
168528,0
168546,8033488
168591,6034272
168607,3801491
168740,0
168786,4804650
168847,2719409
168883,0
169080,15997046
169099,0
169220,0
169248,58925639
169275,10144729
169327,0
169363,0
169424,840520
169442,5043173
169479,0
169521,15335633
169655,0
169716,20430023
169798,57279742
169910,33652240
169974,1855471
169983,8037110
169992,2055321
170000,0
170037,3544932
170055,13674436
170082,84194895
170091,0
170240,0
170286,0
170301,16954481
170444,0
170532,8456018
170541,10560969
170550,6991672
170587,0
170620,0
170639,5659698
170657,13212831
170675,7469967
170790,16834305
170806,4546576
170967,1920193
170976,337186059
171100,210881549
171128,38112337
171137,32745033
171146,19176154
171155,3930135
171225,4025905
171234,1617044
171304,7424852
171395,2812396
171456,22166555
171483,0
171492,3097060
171535,0
171571,52407306
171599,2534456
171881,0
172033,0
172051,20558760
172200,8646281
172264,4087219
172291,0
172307,3190416
172334,2301406
172440,983536
172477,0
172608,0
172617,0
172635,5089319
172644,83844159
172671,1990728
172699,63243302
172705,0
172866,0
172918,4913230
172954,4294438
172963,9564005
173045,10367644
173063,4846844
173115,1457108
173124,12921779
173142,2497958
173160,11918106
173203,5880625
173258,25238546
173300,9934245
173328,0
173416,4417846
173452,0
173461,5976855
173559,8146323
173638,5089743
173647,12463603
173665,10386777
173683,0
173708,7284819
173735,2673158
173799,6207625
173805,1723270
173896,0
173902,19333843
173911,6103962
173920,43526012
173993,2064056
174020,12637586
174066,197249234
174075,4210606
174127,2540996
174136,8394863
174154,0
174233,37200829
174251,6746335
174358,17630425
174376,7599984
174428,11512482
174437,2233466
174473,6033465
174491,0
174507,0
174525,0
174570,1725332
174604,374029
174738,8008805
174747,10184881
174756,6983156
174783,34155067
174792,10237771
174817,4996735
174844,16709900
174862,0
174899,5727827
174914,40839914
175005,11502128
175014,0
175041,8710650
175078,8950778
175139,0
175157,979228
175227,0
175236,6807150
175263,3697162
175272,25612160
175281,4865848
175315,11578741
175342,7346922
175421,0
175430,1698812
175519,1154545
175573,0
175616,7598619
175643,3236500
175652,3639026
175786,14476837
175810,4783476
175829,3757749
175856,18878184
175883,5543944
175935,4027786
175980,5307915
176008,3680895
176017,57745201
176035,5775421
176044,4907291
176053,12230528
176071,7856705
176080,59520116
176169,2992528
176178,5927883
176239,5701301
176318,0
176354,3645099
176372,37714706
176406,2567765
176451,0
176479,2426300
176600,0
176628,3439466
176664,394674
176770,3377063
176789,0
176910,0
176947,3871518
