,index,UNITID,TYPE,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,STATE,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
686,271,149772,1,8712,4392,7603,13479661,MidWest,18147027,22912330,12292867,0
687,605,184348,0,39828,832,3989,2443673,NORTH,9483000,17163000,40888000,87694000
688,449,166674,1,1030,13170,2677,2560870,NORTH,7164322,6381082,1224732,0
689,1058,227757,0,50310,797,23455,2995398,SOUTH,40486964,88092731,139960000,785976000
690,523,174914,0,46348,1035,7128,5417535,MidWest,24715149,33534359,151293753,264467000
691,214,140960,1,4064,1838,10032,12501441,SOUTH,9465998,6497935,3191556,0
692,344,155937,0,26000,1300,1898,1188947,MidWest,965180,3512762,6474201,13418089
693,1078,229027,1,5724,2842,21597,56198530,SOUTH,89627997,38771341,0,0
694,147,131876,0,24700,410,831,3828023,SOUTH,3916405,6366688,12780458,35790186
695,412,163912,1,12116,3008,2604,1535791,SOUTH,2595623,10130663,0,0
696,780,200253,1,6691,1205,750,2564778,MidWest,2965393,8872216,20951,0
697,1215,482149,1,6892,2130,3692,10645992,SOUTH,65784989,8640773,0,0
698,342,155812,0,29750,1050,1375,1474130,MidWest,875257,6112452,10417148,24018137
699,173,137351,1,4559,1851,38696,69269049,SOUTH,155482712,69189812,84007979,712125
700,944,216764,1,7716,2707,14234,16403821,NORTH,43927783,24172736,10623736,0
701,1075,228875,0,51570,90,21145,6121934,SOUTH,60266000,145894000,199600455,563673000
702,305,153269,0,44188,178,6624,2522923,MidWest,22109395,28285335,72589959,148851220
703,543,177144,0,27315,425,1618,1850680,MidWest,316836,4772785,12793347,21462004
704,881,211644,1,7716,3433,2685,6218865,NORTH,9887388,12770626,3714331,0
705,746,198862,0,15917,2379,5395,4971743,SOUTH,2132379,4307805,3868914,31541036
706,906,213613,1,7716,3162,2413,4499545,NORTH,5864636,9785301,2885189,0
707,285,151290,0,27530,470,3396,2812210,MidWest,4244105,12858764,45842416,62434715
708,221,141334,1,4371,2150,6634,23203914,SOUTH,30775751,19135431,0,0
709,1016,221519,0,46960,272,4191,1226352,SOUTH,11357732,15861420,36996125,108154233
710,22,102553,1,7224,1526,3081,11549040,WEST,30436118,30382395,327450,267211
711,943,216694,0,25430,1070,1584,1859518,NORTH,3673137,5945109,15342256,40072555
712,116,127060,0,52596,1179,22723,4822558,WEST,96980930,58214211,195456126,517561837
713,955,217518,0,34402,2424,8775,3495707,NORTH,4958976,19128135,56224680,145107896
714,361,157386,1,8970,320,8684,13554369,SOUTH,8948869,20946670,10933347,0
715,95,122506,0,47800,1250,502,249819,WEST,1493000,1835000,12166000,29998000
716,1011,220701,0,23650,2200,664,1926385,SOUTH,862337,4879515,10260193,16695442
717,261,147767,0,58227,474,39263,7781217,MidWest,380112000,255538000,512945274,2459351000
718,971,218061,1,10384,776,4266,8978806,SOUTH,6267958,7308178,8385393,0
719,845,207847,1,6240,510,1009,6372959,SOUTH,2372571,6000443,302500,0
720,800,202903,0,6000,1150,86,529820,MidWest,12720,33061,0,4343737
721,179,137962,0,15200,1100,105,581285,SOUTH,378730,973961,794805,3688068
722,102,123572,1,5742,2210,13353,12986303,WEST,23235682,27348048,13733419,0
723,574,180416,1,5707,1690,916,1940236,WEST,3031844,4488998,91585,0
724,939,216366,0,40680,1035,4469,5305381,NORTH,64884446,17440136,66410441,5570678922
725,563,179326,0,24500,940,1542,4172905,MidWest,2443853,9265558,20345118,44313765
726,184,138600,0,43920,330,1838,2034928,SOUTH,8118443,10114499,27319761,59508095
727,467,168254,0,36606,2610,6235,3189658,NORTH,13737080,17665800,51489920,107698223
728,380,160612,1,5777,2512,6036,22456689,SOUTH,17098243,13323335,5691087,0
729,995,219471,1,7697,1635,3392,7359211,MidWest,34544786,22786777,1591409,0
730,71,112260,0,56190,285,5306,1162337,WEST,8303000,22249000,27531000,130522000
731,1185,240453,1,8091,1163,10738,29682350,MidWest,65795163,71190719,6850525,0
732,855,209542,1,9846,2012,17374,24655806,WEST,91839095,34437432,10925592,62160
733,346,156189,0,12000,2230,4024,1453982,SOUTH,1717725,2704208,2209689,15218353
734,798,202523,0,55420,1260,9079,1974311,MidWest,16010000,25368000,65690000,135166000
