,UNITID,TYPE,FORPROFIT,BOARD,FEE1_INDISTRICT_UG,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT,Highest_Bachelor,STATE_SOUTH,FULLTIME_RETENTIONRATE_SPRING
22,102553,1,0,1,1526,0,3081,11549040,1,0,642709034,30436118,30382395,327450,267211,0,0,68
23,102614,1,0,0,1868,0,1361,5588627,1,0,1125691161,35917438,24895295,227243,0,0,0,78
24,102632,1,0,0,1602,0,488,1130513,1,0,101018534,5980831,4586905,118511,0,0,0,63
25,102669,0,1,1,410,0,428,593483,1,0,144152746,408756,3101875,2947130,16024724,0,0,56
26,104151,1,0,0,628,0,53516,97573231,1,0,4696817000,420381000,180549000,3007000,23000,0,0,86
27,104179,1,0,0,1394,0,43540,48510329,1,1,3844898000,309535000,110358000,7814000,0,0,0,85
28,104717,0,0,0,757,0,48918,124838879,1,0,1676203892,124506573,439695909,263747125,1183376966,0,0,74
29,105330,1,0,0,1138,0,37386,38295244,1,1,1191325261,44415022,78531430,171181,11586,0,0,76
30,105589,0,0,0,1665,0,317,1033395,1,0,28971986,2142618,3976695,4318953,18227209,0,0,59
31,105899,0,1,1,1750,0,778,1628821,1,0,56555251,2757526,7181767,10494088,21301937,1,0,47
32,106245,1,0,0,3017,0,4363,14661940,1,0,321803629,21769313,9028815,5797178,0,0,1,73
33,106342,0,1,1,865,0,2062,1268296,1,0,123601138,2043510,7082902,16049889,26695592,1,1,69
34,106397,1,0,0,1816,0,19777,18636365,1,0,2285358596,67439782,43133274,30883612,0,0,1,85
35,106412,1,0,1,2934,0,5464,8424805,1,0,163679823,8618464,6177436,1703479,0,0,1,74
36,106458,1,0,0,2083,0,5836,16054097,1,0,462398009,17091756,11051800,12329791,0,0,1,79
37,106467,1,0,1,2100,0,7139,18505902,1,0,253541030,9554370,8413423,11739554,0,0,1,67
38,106704,1,0,0,2528,0,5642,16271839,1,0,379390193,15591552,9203570,15031620,0,0,1,79
39,106713,0,1,1,1500,0,530,1383014,1,0,27767348,854134,884829,3953352,9678600,1,1,57
40,107044,0,1,1,540,0,2201,3905535,1,0,420448563,12441144,17547022,31249263,120769597,0,1,87
41,107071,1,0,1,1632,0,3673,7037530,1,0,121433023,9421430,6311097,3183358,0,0,1,61
42,107080,0,1,1,350,1,1775,1543058,0,0,329302619,4040318,9391724,30838058,49009653,0,1,82
43,107141,0,0,1,1240,0,1422,2157927,1,0,239506733,6438591,9156448,19351886,48365104,0,1,86
44,107512,0,1,1,640,0,2524,2062427,1,0,209281744,1836948,9738875,25468198,44976198,0,1,81
45,107558,0,1,0,1000,0,1712,1643419,1,0,165716336,2230494,4439345,12862377,23774748,1,1,69
46,107877,0,1,0,1400,0,1228,1255697,1,0,40956485,731171,2661271,5128083,10191732,0,1,53
47,107983,1,0,0,2660,0,3426,8005991,1,0,143839297,4704023,6404892,3841562,0,0,1,72
48,109785,0,1,1,580,0,4534,8175239,1,0,352158662,18638601,42997989,79328188,226156266,0,0,76
49,110361,0,1,1,2290,0,6961,17790404,1,0,607061523,7234238,49728342,90854968,233076854,0,0,76
50,110370,0,0,0,545,0,2625,1576745,0,0,183437000,8354000,8251000,28081062,80782000,0,0,71
