UNITID,TYPE,FORPROFIT,StudyAbroad,TUITVARY,ROOM,BOARD,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,TUITION2_INSTATE_UG,FEE2_INSTATE_UG,TUITION3_OUTSTATE_UG,FEE3_OUTOFSTATE_UG,INSTATE_TUITION_FEES_P,OUTSTATE_TUITION_FEES_P,OFFCAMPUS_SELF_EXP,OFFCAMPUS_FAMILY_EXP,ADMS_REUIRED_GPA,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,NUM_FULLTIME_FALLCOHRT,FULLTIME_RETENTIONRATE_SPRING,STUD_TO_FAL_RATIO,TOTAL_FIRSTYR_UG,PRCNT_FIRSTYR_UG,PRCNT_UG_AWARDEDAID,TOTAL_AID_UG,PRCNT_UG_AWARDED_PELL,TOTAL_AMOUNT_PELL_TOUG,PRCENT_FLOANS_TOUG,TOTAL_AMOUNT_FLOANS_UG,TOTAL_SALARY_FT_CONTRACT,DUAL_ENROLLMENT,AP_CREDIT,TEACHER_CERT,COUNSELING_SERVICES,EMPLOYMENT_SERVICE,ACADEMIC_LIBRARY,TUITION_GURANTEE,TUITION_PAYMENTPLAN,ATHASSOC,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,TOTAL_PELL,STATEGRANT,LOCAL_GRANT,DISCOUNTSAPPLIED_TO_TUTFEES,Highest_Bachelor,STATE_SOUTH
104179,1,0,1,1,1,0,10990,1394,10990,1394,33273,1394,12716,36743,5550,3550,1,0,43540,6036,85,15,6036,17,77,340949508,29,48510329,33,73837261,148507739.0,1,1,1,1,1,1,1,1,1,3844898000,2788431000,309535000,110358000,51518000,7814000,0,267055000,0,0
104717,0,0,1,0,1,0,16424,757,16424,757,16424,757,17800,17800,5700,5700,1,0,48918,5679,74,21,5679,10,72,325902029,45,124838879,58,287650517,13355816.0,1,1,1,1,1,1,0,1,1,1676203892,1265463118,124506573,439695909,170026423,263747125,1183376966,172637,0,0
105330,1,0,1,1,1,0,10243,1138,10243,1138,16248,1138,11896,26642,4720,4720,1,0,37386,4772,76,22,4772,18,77,208655774,33,38295244,40,69243268,68849790.0,1,1,1,1,1,1,1,1,1,1191325261,926095490,44415022,78531430,41421340,171181,11586,155697434,0,0
105589,0,0,1,0,1,0,31944,1665,31944,1665,31944,1665,33669,33669,1923,1923,1,0,317,51,59,9,55,11,90,7096993,45,1033395,54,2525087,2440235.0,1,1,1,1,0,1,0,1,1,28971986,13618117,2142618,3976695,1118621,4318953,18227209,0,0,0
105899,0,1,1,0,1,1,27500,1750,27500,1750,27500,1750,29250,29250,6000,6200,1,0,778,219,47,12,208,24,93,12714533,38,1628821,64,3857141,21689180.115322582,1,1,1,1,1,1,0,1,1,56555251,32461808,2757526,7181767,1523935,10494088,21301937,0,1,0
106245,1,0,1,1,1,0,6495,3017,6495,3017,18750,3017,8366,18957,7793,5674,1,0,4363,550,73,13,563,7,61,36041757,39,14661940,43,28458897,28777015.0,1,1,1,1,1,1,0,1,1,321803629,130272847,21769313,9028815,14530667,5797178,0,24068177,0,1
106342,0,1,1,0,1,1,28550,865,28550,865,28550,865,29415,29415,2000,2500,1,0,2062,173,69,11,173,26,98,18146617,42,1268296,64,2501273,3182358.0,1,1,1,1,1,1,0,1,1,123601138,37610844,2043510,7082902,1318344,16049889,26695592,1164250,1,1
106397,1,0,1,1,1,0,7568,1816,7568,1816,24056,1816,9384,25872,4362,4362,1,0,19777,4562,85,19,4564,20,70,108466490,19,18636365,36,53745695,86656080.0,1,1,1,1,1,1,0,1,1,2285358596,1021426804,67439782,43133274,20388641,30883612,0,81823058,0,1
106412,1,0,1,1,1,1,5130,2934,5130,2934,11640,2934,8248,14908,4574,4574,1,0,5464,481,74,14,481,20,97,24079702,70,8424805,68,10726682,4877541.0,1,1,1,1,1,1,0,1,1,163679823,43919869,8618464,6177436,8544001,1703479,0,12033610,0,1
106458,1,0,1,1,1,0,5232,2083,5232,2083,10800,2083,7315,12883,5970,5111,1,0,5836,1333,79,14,1352,15,85,70897370,39,16054097,49,28856427,29670713.0,1,1,1,1,1,1,0,1,1,462398009,194588379,17091756,11051800,17339005,12329791,0,39365713,0,1
106467,1,0,1,1,1,1,5568,2100,5568,2100,11136,2100,7668,13236,4324,4324,1,0,7139,1668,67,17,1989,18,68,55444710,37,18505902,35,26227911,20106525.0,1,1,1,1,1,1,0,1,1,253541030,116151794,9554370,8413423,19546327,11739554,0,30100697,0,1
106704,1,0,1,1,1,0,6810,2528,6810,2528,13620,2528,9338,16148,5584,5584,1,0,5642,1838,79,15,1838,20,84,63865704,38,16271839,46,33490970,28693239.0,1,1,1,1,1,1,0,1,1,379390193,284426688,15591552,9203570,16865707,15031620,0,33997261,0,1
106713,0,1,0,0,1,1,15600,1500,15600,1500,15600,1500,17100,17100,2572,2572,1,0,530,105,57,11,105,16,84,6249603,46,1383014,57,2661360,1338970.0,1,1,1,1,0,1,0,1,1,27767348,10850801,854134,884829,1475154,3953352,9678600,713327,1,1
107044,0,1,1,0,1,1,21000,540,21000,540,21000,540,21540,21540,3280,3280,0,0,2201,804,87,14,804,21,85,34381261,23,3905535,50,13379470,15162022.0,1,1,1,1,1,1,0,1,1,420448563,69731843,12441144,17547022,3957111,31249263,120769597,2951750,0,1
107071,1,0,0,1,1,1,5760,1632,5760,1632,7680,1632,7392,9312,7500,7500,1,0,3673,785,61,14,785,23,84,27017758,43,7037530,43,8912431,9710830.0,1,1,1,1,0,1,0,1,1,121433023,101579084,9421430,6311097,6749144,3183358,0,17809059,0,1
107080,0,1,1,0,1,1,49140,350,49140,350,49140,350,49490,49490,2900,3100,1,1,1775,284,82,10,284,26,99,44949086,30,1543058,51,3561923,6344737.0,1,1,0,1,1,1,0,1,1,329302619,120048858,4040318,9391724,1549401,30838058,49009653,0,0,1
107141,0,0,1,0,1,1,27048,1240,27048,1240,27048,1240,28288,28288,2850,2850,1,0,1422,318,86,14,318,18,76,25045417,27,2157927,42,4786985,2453926.0,1,1,1,1,1,1,0,1,1,239506733,12384105,6438591,9156448,2228136,19351886,48365104,1337750,0,1
107512,0,1,1,0,1,1,28480,640,28480,640,28480,640,29120,29120,4200,3550,1,0,2524,441,81,12,441,27,92,33020959,26,2062427,46,4459271,6033299.0,1,1,1,1,0,1,0,1,1,209281744,63634310,1836948,9738875,2044507,25468198,44976198,3199443,0,1
107558,0,1,1,0,1,0,24950,1000,24950,1000,24950,1000,25950,25950,2400,2400,1,0,1712,209,69,16,209,25,100,17833468,39,1643419,46,2172742,2885584.0,1,1,1,1,1,1,0,1,1,165716336,14979121,2230494,4439345,1629837,12862377,23774748,734829,1,1
107877,0,1,1,0,1,0,17100,1400,17100,1400,17100,1400,18500,18500,3730,3730,1,0,1228,198,53,16,198,38,98,6854353,53,1255697,77,1907596,1416474.0,1,1,1,1,0,1,0,1,1,40956485,3648787,731171,2661271,1256096,5128083,10191732,560500,0,1
107983,1,0,0,1,1,0,6420,2660,6420,2660,11460,2660,9080,14120,7725,6702,1,0,3426,832,72,18,832,23,95,33155043,46,8005991,74,13612303,7802671.0,1,1,1,1,1,1,0,1,1,143839297,87143425,4704023,6404892,8216139,3841562,0,17297364,0,1
109785,0,1,1,0,1,1,40830,580,40830,580,40830,580,41410,41410,4742,4264,1,0,4534,688,76,10,692,14,92,101952991,35,8175239,54,19973267,8012893.0,1,1,1,1,1,1,0,1,1,352158662,192172775,18638601,42997989,8883909,79328188,226156266,10137,0,0
110361,0,1,1,0,1,1,33930,2290,33930,2290,33930,2290,36340,36340,4722,4242,1,0,6961,1491,76,19,1523,19,96,140401944,45,17790404,67,42285015,23627116.0,1,1,1,1,1,1,0,1,1,607061523,399397981,7234238,49728342,19503197,90854968,233076854,22733983,0,0
110370,0,0,1,0,1,0,50592,545,50592,545,50592,545,51137,51137,4160,4400,1,0,2625,248,71,8,248,17,73,25018849,22,1576745,30,3293184,7136258.0,1,1,0,1,1,1,0,1,0,183437000,47387000,8354000,8251000,1615358,28081062,80782000,768000,0,0
110404,0,0,1,0,1,0,54570,2292,54570,2292,54570,2292,56862,56862,4641,4164,0,1,8007,235,94,3,235,25,59,23797796,11,482283,4,202295,2273198.0,0,0,0,1,1,1,0,1,1,6252584000,2975027000,49526627,25995377,482000,80206000,3376928449,154000,0,0
110413,0,1,1,0,1,1,45500,482,45500,482,45500,482,45982,45982,4735,4258,1,1,5568,647,79,14,647,21,95,89740511,36,4742555,53,4742555,15664933.0,1,1,1,1,1,1,0,1,1,382881187,112809266,7050302,22817403,5214059,64780480,120481813,8079609,0,0
110422,1,0,1,1,1,0,5742,4329,5742,4329,17622,8349,10071,25971,2190,2190,1,1,52371,4602,94,21,4602,22,53,76100151,17,16592674,26,32394729,80478528.0,1,1,1,1,1,1,0,0,1,1168128061,2080162724,67029749,79705072,16990464,21346775,0,49903986,0,0
110486,1,0,1,1,1,0,5742,1757,5742,1757,17622,1757,7498,19378,4364,3976,1,1,12235,1545,83,23,1545,15,80,76036472,62,30404359,31,19281507,29380176.0,1,1,1,1,1,1,0,1,1,247233145,547025091,21430149,24680157,32614984,26581609,0,49878925,0,0
110495,1,0,1,1,1,0,5742,1860,5742,1860,17622,1860,7584,19464,3786,3600,1,1,7136,1505,87,22,1505,15,82,72851370,60,27884528,30,17793937,29922216.0,1,1,1,1,1,1,0,1,1,313929729,612200246,18039797,23786824,29901296,26730544,171312,54475032,0,0
110510,1,0,1,1,1,0,5742,1256,5742,1256,17622,1256,6952,18832,3962,3310,1,1,14435,2846,85,27,2846,16,80,141498079,61,54616447,27,30830360,40222704.0,1,1,1,1,1,1,0,1,1,677938366,1196569673,29144670,35031902,56692397,45301595,0,95068739,0,0
110529,1,0,1,1,1,0,5742,1697,5742,1697,17622,1697,7438,19318,3781,4074,1,1,38026,3643,87,29,3643,14,69,152596350,49,63689792,30,51701939,64061928.0,1,1,1,1,1,1,0,1,1,1022354531,1541993528,49673121,43389845,66982400,52950628,0,105748698,0,0
110538,1,0,1,1,1,1,5742,2122,5742,2122,17622,2122,7864,19744,2598,3352,1,1,19999,2539,83,25,2539,16,64,91470434,44,34171019,41,38032259,40056660.0,1,1,1,1,1,1,0,1,1,538154510,1128523554,34826832,36446588,36449691,30791790,0,64445968,0,0
110556,1,0,1,1,1,0,5742,901,5742,901,17622,901,6643,18523,4098,3807,1,1,15448,3279,87,23,3279,15,78,163799720,58,61438256,24,32243297,65814660.0,1,1,1,1,1,1,0,1,1,375756630,1250906358,40239687,60708559,65995248,56770928,0,112152620,0,0
110565,1,0,1,1,1,0,5742,1212,5742,1212,17622,1212,6953,18833,4864,4170,1,1,45449,4692,89,27,4692,13,68,206807429,48,80571378,25,55343242,89687376.0,1,1,1,1,1,1,0,1,1,804184916,1875416854,46894200,52758717,84797205,70274370,0,139027929,0,0
110574,1,0,1,1,1,0,5742,1148,5742,1148,17622,1148,6890,18770,5134,4138,1,1,13858,1424,78,26,1424,11,68,75094526,48,29595171,32,29754740,34202976.0,1,1,1,1,1,1,0,1,1,364840171,934313731,54293110,32869025,31602017,23566214,0,51420986,0,0
110583,1,0,1,1,1,1,5742,1104,5742,1104,17622,1104,6834,18714,3798,3300,1,1,67426,5066,89,24,5066,15,72,206988657,51,81106447,28,57921442,93745116.0,1,1,1,1,1,1,0,1,1,801907888,1864027354,61293379,62878474,85749921,72061707,0,140003171,0,0
110592,1,0,1,1,1,1,5742,1043,5742,1043,17622,1043,6781,18661,5269,3582,1,1,31442,3229,83,25,3229,14,86,198144868,68,78536912,22,32246676,59018508.0,1,1,1,1,1,1,0,1,1,850346349,1479227359,49167091,30365144,79806722,62794533,0,124280011,0,0
110608,1,0,1,1,1,0,5742,1275,5742,1275,17622,1275,7017,18897,4338,4022,1,1,27765,4757,83,28,4757,14,75,246926951,58,99218485,27,60783080,76563360.0,1,1,1,1,1,1,0,1,1,844801118,1787411468,65163120,96560776,101348740,81934925,0,159663549,0,0
110617,1,0,1,1,1,0,5742,1676,5742,1676,17622,1676,7418,19298,3944,4174,1,1,25734,4100,84,26,4100,14,72,182840320,52,70843503,31,58535093,67982496.0,1,1,1,1,1,1,0,1,1,809322077,1730155067,48420437,59433247,74480648,64996249,0,111854719,0,0
111081,0,0,1,0,1,1,52850,616,52850,616,52850,616,53466,53466,7656,7656,0,0,2254,215,60,5,198,19,94,16385521,24,1202616,45,3254350,12540606.0,1,1,0,1,1,1,0,1,0,270761544,17151118,8301679,5906248,1204991,22639267,71916390,945354,0,0
111188,1,0,1,1,1,0,5742,1374,5742,1374,17622,1374,7160,19040,8597,8643,1,1,988,190,77,13,190,21,56,4493940,27,1225548,48,2931839,5856636.0,1,1,0,1,1,1,0,1,1,138667492,203245273,4408710,10849481,1241149,1217317,0,2471397,0,0
111948,0,1,1,0,1,1,56830,384,56830,384,56830,384,57214,57214,4570,4570,1,1,14252,1726,85,12,1760,23,82,161422262,19,6600888,48,23989966,22459722.0,1,1,1,1,1,1,0,1,1,1605493045,429956320,52105763,32436346,6673594,163922827,374358935,8271629,0,0
